"event","experiment time","system time","system time text"
"START",0.000000000E0,1759411022.074,"2025-10-02 10:17:02.074 UTC-03:00"
"PAUSE",6.934804693E2,1759411715.555,"2025-10-02 10:28:35.555 UTC-03:00"
