"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.489000000E-2,-2.200622610E1,-4.790280940E1,NaN,NaN,NaN,4.793450012E2,0.000000000E0
7.187957290E-1,-2.200705991E1,-4.789735514E1,8.446489996E2,1.129999995E0,2.685000000E2,3.869837284E0,4.702062607E0
1.093330937E0,-2.200705127E1,-4.789737708E1,8.465964191E2,1.549999952E0,2.741000061E2,3.875077486E0,4.003944397E0
2.093083437E0,-2.200705121E1,-4.789738933E1,8.472220441E2,1.080000043E0,2.735000000E2,4.811236858E0,5.305911541E0
3.092930780E0,-2.200703644E1,-4.789736695E1,8.417864803E2,1.220000029E0,2.690000000E2,3.790092468E0,3.707976103E0
4.092923124E0,-2.200703435E1,-4.789737876E1,8.364494596E2,1.279999971E0,2.695000000E2,3.916226625E0,3.065206289E0
5.093409061E0,-2.200702763E1,-4.789739319E1,8.367992127E2,1.419999957E0,2.810000000E2,3.790092468E0,2.500000000E0
6.093657185E0,-2.200701721E1,-4.789739703E1,8.366097710E2,1.169999957E0,2.818999939E2,3.790092468E0,2.500000000E0
7.093120935E0,-2.200699639E1,-4.789739904E1,8.361478731E2,1.299999952E0,2.823999939E2,3.790092468E0,2.500000000E0
8.093198747E0,-2.200698390E1,-4.789740179E1,8.361884120E2,1.259999990E0,3.481000061E2,3.790092468E0,2.500000000E0
9.092986663E0,-2.200696898E1,-4.789740139E1,8.361928159E2,1.370000005E0,3.547000122E2,3.790092468E0,2.500000000E0
1.009385265E1,-2.200695592E1,-4.789740132E1,8.360526878E2,1.299999952E0,3.573999939E2,3.790092468E0,2.500000000E0
1.109375531E1,-2.200694279E1,-4.789740113E1,8.364040146E2,1.240000010E0,3.522000122E2,3.790092468E0,2.500000000E0
1.209305651E1,-2.200692879E1,-4.789740057E1,8.367000437E2,1.230000019E0,3.533999939E2,3.790092468E0,2.500000000E0
1.309303875E1,-2.200691367E1,-4.789740017E1,8.369777632E2,1.399999976E0,3.538999939E2,3.790092468E0,2.500000000E0
1.409345171E1,-2.200689877E1,-4.789739901E1,8.372949103E2,1.350000024E0,3.570000000E2,3.790092468E0,2.500000000E0
1.509336328E1,-2.200688491E1,-4.789739722E1,8.369912065E2,1.299999952E0,6.999999881E-1,3.790092468E0,2.500000000E0
1.609328093E1,-2.200687030E1,-4.789739515E1,8.372908963E2,1.379999995E0,5.400000095E0,3.790092468E0,2.500000000E0
1.709304213E1,-2.200685602E1,-4.789739368E1,8.375256452E2,1.360000014E0,5.199999809E0,3.790092468E0,2.500000000E0
1.809397468E1,-2.200684144E1,-4.789739319E1,8.376430859E2,1.379999995E0,1.100000024E0,3.790092468E0,2.500000000E0
1.909335015E1,-2.200682650E1,-4.789739442E1,8.377076724E2,1.320000052E0,3.556000061E2,3.790092468E0,2.500000000E0
2.009386374E1,-2.200681372E1,-4.789739522E1,8.378053381E2,1.279999971E0,3.562999878E2,3.790092468E0,2.500000000E0
2.109318265E1,-2.200680075E1,-4.789739661E1,8.379568376E2,1.289999962E0,3.535000000E2,3.790092468E0,2.500000000E0
2.209394405E1,-2.200678971E1,-4.789739590E1,8.377969319E2,1.279999971E0,3.577999878E2,3.790092468E0,2.500000000E0
2.309369484E1,-2.200677842E1,-4.789739437E1,8.376138321E2,1.330000043E0,8.000000119E-1,3.790092468E0,2.500000000E0
2.409337843E1,-2.200676809E1,-4.789739163E1,8.374708914E2,1.279999971E0,3.400000095E0,3.790092468E0,2.500000000E0
2.509379093E1,-2.200675688E1,-4.789738949E1,8.376334939E2,1.330000043E0,2.900000095E0,3.790092468E0,2.500000000E0
2.609339452E1,-2.200674484E1,-4.789738863E1,8.375889452E2,1.360000014E0,3.597000122E2,3.790092468E0,2.500000000E0
2.709391015E1,-2.200673316E1,-4.789738976E1,8.375564835E2,1.299999952E0,3.535000000E2,3.790092468E0,2.500000000E0
2.809348650E1,-2.200672137E1,-4.789739073E1,8.381321761E2,1.279999971E0,3.556000061E2,3.790092468E0,2.500000000E0
2.909318400E1,-2.200670863E1,-4.789739114E1,8.382254467E2,1.379999995E0,3.595000000E2,3.790092468E0,2.500000000E0
3.009370103E1,-2.200669667E1,-4.789739150E1,8.382620762E2,1.289999962E0,2.400000095E0,3.790092468E0,2.500000000E0
3.109332140E1,-2.200668405E1,-4.789739218E1,8.382420658E2,1.370000005E0,3.587999878E2,3.790092468E0,2.500000000E0
3.209349796E1,-2.200667177E1,-4.789739271E1,8.382811370E2,1.330000043E0,3.585000000E2,3.790092468E0,2.500000000E0
3.309297358E1,-2.200665905E1,-4.789739335E1,8.383418152E2,1.399999976E0,3.571000061E2,3.790092468E0,2.500000000E0
3.409371733E1,-2.200664550E1,-4.789739232E1,8.381870378E2,1.460000038E0,4.000000000E0,3.790092468E0,2.500000000E0
3.509363561E1,-2.200663520E1,-4.789739169E1,8.380770585E2,1.149999976E0,3.592000122E2,3.790092468E0,2.500000000E0
3.609376889E1,-2.200662345E1,-4.789738990E1,8.383276745E2,1.360000014E0,1.799999952E0,3.790092468E0,2.500000000E0
3.709393296E1,-2.200661250E1,-4.789738880E1,8.384175242E2,1.259999990E0,3.555000000E2,3.790092468E0,2.500000000E0
3.809340670E1,-2.200660084E1,-4.789738765E1,8.383676037E2,1.360000014E0,1.000000015E-1,3.790092468E0,2.500000000E0
3.909338514E1,-2.200658983E1,-4.789738573E1,8.383119447E2,1.299999952E0,1.200000048E0,3.790092468E0,2.500000000E0
4.009345686E1,-2.200657860E1,-4.789738496E1,8.382286992E2,1.309999943E0,3.591000061E2,3.790092468E0,2.500000000E0
4.109312071E1,-2.200656687E1,-4.789738565E1,8.384080291E2,1.340000033E0,3.557999878E2,3.790092468E0,2.500000000E0
4.209323545E1,-2.200655471E1,-4.789738667E1,8.386858704E2,1.309999943E0,3.591000061E2,3.790092468E0,2.500000000E0
4.309350571E1,-2.200654171E1,-4.789738746E1,8.385146153E2,1.379999995E0,4.300000191E0,3.790092468E0,2.500000000E0
4.409395358E1,-2.200652817E1,-4.789738818E1,8.384220958E2,1.330000043E0,3.400000095E0,3.790092468E0,2.500000000E0
4.509304399E1,-2.200651552E1,-4.789739224E1,8.383864645E2,1.250000000E0,3.578999939E2,3.790092468E0,2.500000000E0
4.609321811E1,-2.200650313E1,-4.789739608E1,8.383134792E2,1.289999962E0,3.576000061E2,3.790092468E0,2.500000000E0
4.709301295E1,-2.200649056E1,-4.789739834E1,8.382387832E2,1.330000043E0,3.541000061E2,3.790092468E0,2.500000000E0
4.809392342E1,-2.200647818E1,-4.789740009E1,8.381748286E2,1.350000024E0,3.548999939E2,3.790092468E0,2.500000000E0
4.909378649E1,-2.200646571E1,-4.789740067E1,8.378769860E2,1.350000024E0,3.575000000E2,3.790092468E0,2.500000000E0
5.009374446E1,-2.200645370E1,-4.789740065E1,8.376395672E2,1.299999952E0,3.572999878E2,3.790092468E0,2.500000000E0
5.109396061E1,-2.200644151E1,-4.789740163E1,8.376750988E2,1.309999943E0,3.562000122E2,3.790092468E0,2.500000000E0
5.209316998E1,-2.200643032E1,-4.789740256E1,8.370269140E2,1.250000000E0,3.545000000E2,3.790092468E0,2.500000000E0
