"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.083078300E-2,1.066875076E1,1.284375095E1,1.730625153E1
3.083078300E-2,1.132500076E1,1.271250057E1,1.608750153E1
4.083078300E-2,1.231875038E1,1.430625057E1,1.625625038E1
5.083078300E-2,1.123125076E1,1.342500019E1,1.822500038E1
6.083078300E-2,1.140000057E1,1.432500076E1,1.655625153E1
7.083078300E-2,1.153125000E1,1.445625019E1,1.687500000E1
8.083078300E-2,1.141875076E1,1.387500095E1,1.625625038E1
9.083078300E-2,1.194375038E1,1.269375038E1,1.563750076E1
1.008307830E-1,1.164375019E1,1.301250076E1,1.488750076E1
1.108307830E-1,1.338750076E1,1.445625019E1,1.565625095E1
1.208307830E-1,1.301250076E1,1.299375057E1,1.458750057E1
1.308307830E-1,1.357500076E1,1.385625076E1,1.550625038E1
1.408307830E-1,1.318125057E1,1.284375095E1,1.426875019E1
1.508307830E-1,1.361250019E1,1.357500076E1,1.428750038E1
1.608307830E-1,1.340625095E1,1.415625095E1,1.535625076E1
1.708307830E-1,1.391250038E1,1.327500057E1,1.503750038E1
1.808307830E-1,1.353750038E1,1.196250057E1,1.335000038E1
1.908307830E-1,1.378125095E1,1.342500019E1,1.411875057E1
2.008307830E-1,1.520625019E1,1.282500076E1,1.275000095E1
2.108307830E-1,1.451250076E1,1.340625095E1,1.488750076E1
2.208307830E-1,1.389375019E1,1.430625057E1,1.428750038E1
2.308307830E-1,1.275000095E1,1.226250076E1,1.456875038E1
2.408307830E-1,1.383750057E1,1.166250038E1,1.411875057E1
2.508307830E-1,1.440000057E1,1.209375095E1,1.471875095E1
2.608307830E-1,1.288125038E1,1.106250000E1,1.623750114E1
2.708307830E-1,1.370625019E1,1.108125019E1,1.395000076E1
2.808307830E-1,1.368750095E1,1.136250019E1,1.425000095E1
2.908307830E-1,1.359375095E1,1.357500076E1,1.503750038E1
3.008307830E-1,1.275000095E1,1.299375057E1,1.381875038E1
3.108307830E-1,1.351875019E1,1.121250057E1,1.486875057E1
3.208307830E-1,1.321875095E1,1.211250019E1,1.396875095E1
3.308307830E-1,1.456875038E1,1.164375019E1,1.456875038E1
3.408307830E-1,1.226250076E1,1.196250057E1,1.563750076E1
3.508307830E-1,1.359375095E1,1.252500057E1,1.623750114E1
3.608307830E-1,1.473750019E1,1.254375076E1,1.320000076E1
3.708307830E-1,1.425000095E1,1.224375057E1,1.456875038E1
3.808307830E-1,1.368750095E1,1.136250019E1,1.425000095E1
3.908307830E-1,1.533750057E1,1.222500038E1,1.381875038E1
4.008307830E-1,1.387500095E1,1.018125057E1,1.410000038E1
4.108307830E-1,1.456875038E1,1.224375057E1,1.411875057E1
4.208307830E-1,1.306875038E1,1.048125076E1,1.531875038E1
4.308307830E-1,1.246875095E1,1.138125038E1,1.471875095E1
4.408307830E-1,1.310625076E1,1.018125057E1,1.485000038E1
4.508307830E-1,1.404375076E1,1.211250019E1,1.168125057E1
4.608307830E-1,1.361250019E1,1.254375076E1,1.548750019E1
4.708307830E-1,1.305000019E1,1.271250057E1,1.381875038E1
4.808307830E-1,1.393125057E1,1.282500076E1,1.473750019E1
4.908307830E-1,1.438125038E1,1.207500076E1,1.548750019E1
5.008307830E-1,1.314375019E1,1.254375076E1,1.578750038E1
5.108307830E-1,1.391250038E1,1.327500057E1,1.473750019E1
5.208307830E-1,1.295625019E1,1.138125038E1,1.350000095E1
5.308307830E-1,1.419375038E1,1.222500038E1,1.638750076E1
5.408307830E-1,1.346250057E1,1.297500038E1,1.488750076E1
5.508307830E-1,1.441875076E1,1.104375076E1,1.546875095E1
5.608307830E-1,1.306875038E1,1.166250038E1,1.456875038E1
5.708307830E-1,1.348125076E1,1.342500019E1,1.411875057E1
