"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.897121380E-1,1.194075346E-1,-5.729461908E-1,-2.766635895E0
3.947121380E-1,2.518361807E-2,-3.808425665E-1,-2.805277824E0
3.997121380E-1,-4.807972908E-2,-1.799357533E-1,-2.851086617E0
4.047121380E-1,-1.136205196E-1,1.131297648E-2,-2.911862373E0
4.097121380E-1,-1.938090324E-1,1.650677621E-1,-2.977005959E0
4.147121380E-1,-2.326380014E-1,3.259890079E-1,-3.098839283E0
4.197121380E-1,-2.555124462E-1,4.422234297E-1,-3.248071671E0
4.247121380E-1,-2.384911478E-1,5.255424976E-1,-3.350791931E0
4.297121380E-1,-1.580095142E-1,5.991355181E-1,-3.456298351E0
4.347121380E-1,-3.756368160E-2,6.599172354E-1,-3.474419594E0
4.397121380E-1,5.590677261E-2,7.020300627E-1,-3.441146851E0
4.447121380E-1,1.304236054E-1,6.965944767E-1,-3.390869141E0
4.497121380E-1,1.960139573E-1,6.556437016E-1,-3.313045979E0
4.547121380E-1,2.452981472E-1,6.146570444E-1,-3.261625767E0
4.597121380E-1,2.950305045E-1,5.700643063E-1,-3.236721039E0
4.647121380E-1,2.879695594E-1,5.378835201E-1,-3.282416344E0
4.697121380E-1,2.385694981E-1,4.825488925E-1,-3.386138916E0
4.747121380E-1,1.583915055E-1,4.407090545E-1,-3.537628174E0
4.797121380E-1,6.237700582E-2,4.102784395E-1,-3.675637245E0
4.847121380E-1,-6.351245940E-2,3.803054690E-1,-3.800186157E0
4.897121380E-1,-1.893732846E-1,3.652627766E-1,-3.865818977E0
4.947121380E-1,-2.792381346E-1,3.787485659E-1,-3.883697033E0
4.997121380E-1,-3.549914360E-1,4.295454025E-1,-3.884885788E0
5.047121380E-1,-3.822476268E-1,4.668196440E-1,-3.819433212E0
5.097121380E-1,-3.923262954E-1,4.962334633E-1,-3.751478672E0
5.147121380E-1,-3.494158685E-1,5.371070504E-1,-3.668485641E0
5.197121380E-1,-2.866361439E-1,5.807967186E-1,-3.565350533E0
5.247121380E-1,-1.858672500E-1,6.212557554E-1,-3.421494007E0
5.297121380E-1,-8.644539863E-2,6.631683707E-1,-3.254680634E0
5.347121380E-1,-1.173184067E-2,6.827441454E-1,-3.025218487E0
5.397121380E-1,6.915456057E-2,6.811095476E-1,-2.798389435E0
5.447121380E-1,1.110651046E-1,6.903295517E-1,-2.556668282E0
5.497121380E-1,1.545105726E-1,6.895467639E-1,-2.299802780E0
5.547121380E-1,1.583213657E-1,6.888353825E-1,-2.029860973E0
5.597121380E-1,1.374682486E-1,6.951999664E-1,-1.770596504E0
5.647121380E-1,1.049332172E-1,7.044515610E-1,-1.542340279E0
5.697121380E-1,3.857142478E-2,7.205525041E-1,-1.342805862E0
5.747121380E-1,-5.332607776E-2,7.114579678E-1,-1.171945572E0
5.797121380E-1,-1.480396688E-1,7.034935951E-1,-1.007330894E0
5.847121380E-1,-2.292436808E-1,7.058970332E-1,-8.903141022E-1
5.897121380E-1,-2.952578068E-1,7.066772580E-1,-7.332391739E-1
5.947121380E-1,-3.241046667E-1,6.979247332E-1,-5.862417221E-1
5.997121380E-1,-3.846250474E-1,7.221946716E-1,-4.581956863E-1
6.047121380E-1,-4.333332777E-1,7.387449741E-1,-3.195457458E-1
6.097121380E-1,-4.721822143E-1,7.585311532E-1,-1.914024353E-1
6.147121380E-1,-4.748817086E-1,7.873778939E-1,-5.077934265E-2
6.197121380E-1,-4.687864184E-1,8.061885238E-1,9.236145020E-2
6.247121380E-1,-4.437850118E-1,8.189816475E-1,2.445173264E-1
6.297121380E-1,-4.028796256E-1,8.179942966E-1,3.944654465E-1
6.347121380E-1,-3.421434760E-1,8.263021708E-1,5.324201584E-1
6.397121380E-1,-2.734865844E-1,8.281081319E-1,6.828222275E-1
6.447121380E-1,-2.230748832E-1,8.134329319E-1,8.271646500E-1
6.497121380E-1,-1.606102437E-1,8.074651361E-1,9.666967392E-1
6.547121380E-1,-9.728047252E-2,7.897112966E-1,1.096610069E0
6.597121380E-1,-4.391892254E-2,7.675886154E-1,1.221730232E0
6.647121380E-1,8.289694786E-3,7.321208715E-1,1.284422874E0
6.697121380E-1,8.291572332E-2,6.742824912E-1,1.347168922E0
6.747121380E-1,1.734259874E-1,5.822319984E-1,1.431607246E0
6.797121380E-1,2.355096340E-1,4.675372839E-1,1.550892830E0
6.847121380E-1,2.666132450E-1,3.677154779E-1,1.691775322E0
6.897121380E-1,2.651653290E-1,2.641162872E-1,1.875976562E0
