"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,-2.200670970E1,-4.789318740E1,8.465406370E2,NaN,NaN,8.402500153E1,7.193565845E0
0.000000000E0,-2.200680540E1,-4.789208030E1,8.450392569E2,NaN,NaN,1.182900047E1,1.000000000E0
1.041307968E0,-2.200683674E1,-4.789209893E1,8.487329839E2,0.000000000E0,NaN,9.762079239E0,1.869659424E1
1.766599010E0,-2.200685584E1,-4.789214810E1,8.530184301E2,4.829999924E0,2.707999878E2,3.790092468E0,4.796880722E0
2.767227290E0,-2.200687057E1,-4.789221454E1,8.530407161E2,5.809999943E0,2.668999939E2,3.790092468E0,4.362133503E0
3.766772655E0,-2.200687558E1,-4.789228737E1,8.526732457E2,7.050000191E0,2.688999939E2,3.790092468E0,4.195074558E0
4.767282602E0,-2.200690940E1,-4.789238422E1,8.646437975E2,7.099999905E0,2.697000122E2,3.888248920E0,5.584262371E0
5.766863539E0,-2.200691171E1,-4.789245166E1,8.640233928E2,NaN,NaN,1.818637657E1,3.129219055E1
6.766617028E0,-2.200691312E1,-4.789251945E1,8.633362166E2,NaN,NaN,1.796647072E1,3.103676605E1
7.767451507E0,-2.200691016E1,-4.789258872E1,8.635831271E2,NaN,NaN,1.786525154E1,3.095172119E1
8.767363746E0,-2.200691852E1,-4.789266239E1,8.618372375E2,7.159999847E0,2.696000061E2,9.945426941E0,1.759456635E1
9.766601871E0,-2.200691753E1,-4.789272678E1,8.603484231E2,6.739999771E0,2.676000061E2,3.790092468E0,5.694189548E0
1.076690187E1,-2.200691728E1,-4.789279088E1,8.607374156E2,6.460000038E0,2.662000122E2,3.790092468E0,4.926571846E0
1.176656109E1,-2.200691199E1,-4.789284001E1,8.612565205E2,4.610000134E0,2.742999878E2,3.790092468E0,4.115938187E0
1.276715703E1,-2.200690931E1,-4.789286949E1,8.602824362E2,2.490000010E0,2.928999939E2,3.790092468E0,4.234489918E0
1.376724937E1,-2.200689865E1,-4.789288963E1,8.601169399E2,2.009999990E0,3.007000122E2,3.790092468E0,4.360214710E0
1.476664385E1,-2.200688113E1,-4.789291597E1,8.604047025E2,3.210000038E0,3.170000000E2,3.790092468E0,5.118068218E0
1.576737135E1,-2.200684929E1,-4.789293414E1,8.593150236E2,4.710000038E0,3.445000000E2,3.790092468E0,4.321422577E0
1.676723406E1,-2.200680140E1,-4.789294099E1,8.589088135E2,5.440000057E0,3.540000000E2,3.790092468E0,3.734755278E0
1.776736515E1,-2.200673539E1,-4.789294366E1,8.587772686E2,7.679999828E0,3.598999939E2,3.790092468E0,3.561752558E0
1.876737343E1,-2.200666698E1,-4.789294790E1,8.573031978E2,8.060000420E0,3.581000061E2,3.790092468E0,3.261340380E0
1.976715015E1,-2.200659467E1,-4.789294989E1,8.558432872E2,8.659999847E0,3.590000000E2,3.790092468E0,3.464170694E0
2.076654135E1,-2.200651262E1,-4.789294411E1,8.545274167E2,8.970000267E0,3.598999939E2,3.790092468E0,3.155330658E0
2.176670088E1,-2.200642680E1,-4.789294521E1,8.537767424E2,9.569999695E0,3.593999939E2,3.790092468E0,2.914566040E0
2.276679244E1,-2.200633367E1,-4.789294887E1,8.528676288E2,1.018999958E1,3.568999939E2,3.790092468E0,3.010894537E0
2.376667655E1,-2.200623534E1,-4.789294893E1,8.520564147E2,1.068000031E1,2.000000030E-1,3.790092468E0,2.869423866E0
2.476658265E1,-2.200613659E1,-4.789294984E1,8.509865350E2,1.090999985E1,1.600000024E0,3.790092468E0,2.850083828E0
2.576674478E1,-2.200603714E1,-4.789294983E1,8.502218303E2,1.102000046E1,2.299999952E0,3.790092468E0,2.847725391E0
2.676688702E1,-2.200593645E1,-4.789294976E1,8.493259009E2,1.114999962E1,3.599999905E0,3.790092468E0,2.882170439E0
2.776702025E1,-2.200583480E1,-4.789294918E1,8.486423738E2,1.130000019E1,5.000000000E0,3.790092468E0,2.712397099E0
2.876649046E1,-2.200573220E1,-4.789294635E1,8.477643866E2,1.144999981E1,3.900000095E0,3.790092468E0,2.562122345E0
2.976695983E1,-2.200562655E1,-4.789294017E1,8.457259971E2,1.152000046E1,3.799999952E0,3.790092468E0,2.530430794E0
3.076659619E1,-2.200552369E1,-4.789294097E1,8.449457928E2,1.127000046E1,3.500000000E0,3.790092468E0,2.500000000E0
3.176715921E1,-2.200542299E1,-4.789294277E1,8.441118773E2,1.107999992E1,3.799999952E0,3.790092468E0,2.504476309E0
3.276727759E1,-2.200532144E1,-4.789294414E1,8.433109208E2,1.100000000E1,4.099999905E0,3.790092468E0,2.549040318E0
3.376722499E1,-2.200522452E1,-4.789294740E1,8.421725612E2,1.089999962E1,4.500000000E0,3.790092468E0,2.513263941E0
3.476735905E1,-2.200512754E1,-4.789295049E1,8.410129611E2,1.080000019E1,4.300000191E0,3.790092468E0,2.519726038E0
3.576731796E1,-2.200503363E1,-4.789295412E1,8.399329495E2,1.055000019E1,4.099999905E0,3.790092468E0,2.500000000E0
3.676678150E1,-2.200494084E1,-4.789295840E1,8.386793540E2,1.035999966E1,2.900000095E0,3.790092468E0,2.500000000E0
3.776733014E1,-2.200485342E1,-4.789296556E1,8.370845718E2,9.930000305E0,4.699999809E0,3.790092468E0,2.500000000E0
3.876745759E1,-2.200477269E1,-4.789296488E1,8.359414360E2,9.109999657E0,8.100000381E0,3.790092468E0,2.789396286E0
3.976658764E1,-2.200470275E1,-4.789296170E1,8.350132559E2,7.750000000E0,1.000000000E1,3.790092468E0,3.296020269E0
4.076683967E1,-2.200464345E1,-4.789295833E1,8.344415138E2,6.559999943E0,1.119999981E1,3.790092468E0,3.913964033E0
4.176685326E1,-2.200459704E1,-4.789295635E1,8.335072161E2,5.429999828E0,1.169999981E1,3.790092468E0,3.858660698E0
4.276685670E1,-2.200456255E1,-4.789295642E1,8.329503542E2,4.050000191E0,1.160000038E1,3.790092468E0,3.526943684E0
4.376683451E1,-2.200453629E1,-4.789295468E1,8.323168246E2,3.009999990E0,1.239999962E1,3.790092468E0,3.677473307E0
4.476675155E1,-2.200452004E1,-4.789295362E1,8.319917609E2,1.840000033E0,1.450000000E1,3.790092468E0,3.286390066E0
4.576725483E1,-2.200450196E1,-4.789294378E1,8.318822641E2,2.119999886E0,2.550000000E1,3.790092468E0,2.835631847E0
4.676722743E1,-2.200447856E1,-4.789292372E1,8.313427050E2,3.390000105E0,4.990000153E1,3.790092468E0,3.142919779E0
4.776717670E1,-2.200446184E1,-4.789288668E1,8.308668419E2,4.380000114E0,7.409999847E1,3.790092468E0,3.235541105E0
4.876723420E1,-2.200444846E1,-4.789283793E1,8.307207968E2,5.159999847E0,9.040000153E1,3.790092468E0,3.238107681E0
4.976722967E1,-2.200444558E1,-4.789278276E1,8.302173151E2,5.699999809E0,9.919999695E1,3.790092468E0,3.087326765E0
5.076708451E1,-2.200444450E1,-4.789271863E1,8.300600130E2,6.360000134E0,1.003000031E2,3.790092468E0,3.610934019E0
5.176693883E1,-2.200444283E1,-4.789264700E1,8.296566087E2,7.380000114E0,9.700000000E1,3.790092468E0,3.817623854E0
5.276715790E1,-2.200443600E1,-4.789256524E1,8.294546117E2,8.310000420E0,9.530000305E1,3.790092468E0,4.425343990E0
5.376676920E1,-2.200442849E1,-4.789247931E1,8.293058329E2,8.779999733E0,9.480000305E1,3.917992115E0,5.081836224E0
5.476677435E1,-2.200442004E1,-4.789239784E1,8.294947064E2,8.479999542E0,9.440000153E1,3.790092468E0,4.518640518E0
5.576648743E1,-2.200441597E1,-4.789232718E1,8.292185021E2,7.400000095E0,9.609999847E1,3.790092468E0,3.973119497E0
5.676735951E1,-2.200441425E1,-4.789227586E1,8.293693211E2,5.429999828E0,9.619999695E1,3.790092468E0,3.881769419E0
5.776652076E1,-2.200441612E1,-4.789223641E1,8.293795269E2,4.260000229E0,9.619999695E1,3.790092468E0,3.541138649E0
5.876709029E1,-2.200440973E1,-4.789220535E1,8.293504415E2,3.910000086E0,8.250000000E1,3.790092468E0,3.008828640E0
5.976652789E1,-2.200439524E1,-4.789218124E1,8.290274244E2,3.289999962E0,5.820000076E1,3.790092468E0,2.693761349E0
6.076727071E1,-2.200437276E1,-4.789217363E1,8.292810923E2,2.599999905E0,3.479999924E1,3.790092468E0,2.927584648E0
6.176727992E1,-2.200435899E1,-4.789217369E1,8.291773418E2,1.629999995E0,2.239999962E1,3.790092468E0,2.981892347E0
6.276664367E1,-2.200435087E1,-4.789217051E1,8.296180172E2,9.900000095E-1,1.689999962E1,3.790092468E0,3.415243387E0
6.376673133E1,-2.200435135E1,-4.789217046E1,8.301307121E2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
6.476678492E1,-2.200435377E1,-4.789216874E1,8.301990678E2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
6.576726435E1,-2.200434760E1,-4.789216939E1,8.302491215E2,9.399999976E-1,8.800000191E0,3.790092468E0,2.500000000E0
6.676563263E1,-2.200433146E1,-4.789217611E1,8.299168648E2,2.539999962E0,3.435000000E2,3.790092468E0,2.500000000E0
6.776722654E1,-2.200431120E1,-4.789220652E1,8.296647171E2,4.349999905E0,2.988999939E2,3.790092468E0,2.500000000E0
6.876691617E1,-2.200431380E1,-4.789227264E1,8.292856436E2,6.289999962E0,2.768999939E2,3.790092468E0,2.500000000E0
6.976714060E1,-2.200431509E1,-4.789235306E1,8.288255333E2,8.489999771E0,2.745000000E2,3.790092468E0,2.500000000E0
7.076695294E1,-2.200431499E1,-4.789243940E1,8.285001966E2,9.010000229E0,2.743999939E2,3.790092468E0,2.500000000E0
7.176608664E1,-2.200431627E1,-4.789256744E1,8.291085022E2,1.201000023E1,2.693999939E2,3.790092468E0,2.500000000E0
7.276722982E1,-2.200431911E1,-4.789269678E1,8.288480340E2,1.328999996E1,2.701000061E2,3.790092468E0,2.500000000E0
7.376647153E1,-2.200431624E1,-4.789282896E1,8.287914303E2,1.359000015E1,2.747999878E2,3.790092468E0,2.500000000E0
7.476661054E1,-2.200430353E1,-4.789297906E1,8.284531162E2,1.518000031E1,2.755000000E2,3.790092468E0,2.500000000E0
7.576709492E1,-2.200428455E1,-4.789313237E1,8.280631743E2,1.573999977E1,2.807999878E2,3.790092468E0,2.500000000E0
7.676717731E1,-2.200425699E1,-4.789328506E1,8.279118849E2,1.564000034E1,2.836000061E2,3.790092468E0,2.500000000E0
7.776638539E1,-2.200422198E1,-4.789343357E1,8.278913327E2,1.550000000E1,2.856000061E2,3.790092468E0,2.500000000E0
7.876717606E1,-2.200418884E1,-4.789357677E1,8.276058803E2,1.514000034E1,2.880000000E2,3.790092468E0,2.500000000E0
7.976656966E1,-2.200414912E1,-4.789371549E1,8.272502366E2,1.502000046E1,2.881000061E2,3.790092468E0,2.500000000E0
