"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.076662356E1,-2.200411130E1,-4.789385150E1,8.274780844E2,1.477999973E1,2.865000000E2,3.790092468E0,2.500000000E0
8.176736122E1,-2.200407491E1,-4.789398625E1,8.268395969E2,1.463000011E1,2.861000061E2,3.790092468E0,2.500000000E0
8.276708481E1,-2.200403882E1,-4.789412099E1,8.264994489E2,1.443999958E1,2.862999878E2,3.790092468E0,2.500000000E0
8.376673835E1,-2.200400078E1,-4.789425638E1,8.267164319E2,1.427000046E1,2.866000061E2,3.790092468E0,2.500000000E0
8.476655856E1,-2.200396335E1,-4.789438738E1,8.263914171E2,1.409000015E1,2.868999939E2,3.790092468E0,2.500000000E0
8.576749648E1,-2.200392588E1,-4.789452130E1,8.263288570E2,1.422999954E1,2.870000000E2,3.790092468E0,2.500000000E0
8.676707851E1,-2.200388909E1,-4.789465187E1,8.261842612E2,1.417000008E1,2.873999939E2,3.790092468E0,2.500000000E0
8.776715903E1,-2.200385112E1,-4.789478466E1,8.254058797E2,1.455000019E1,2.876000061E2,3.790092468E0,2.500000000E0
8.876731465E1,-2.200381063E1,-4.789492148E1,8.250829491E2,1.497000027E1,2.877000122E2,3.790092468E0,2.500000000E0
8.976707320E1,-2.200376893E1,-4.789506291E1,8.243764798E2,1.531999969E1,2.875000000E2,3.790092468E0,2.500000000E0
9.076690075E1,-2.200372878E1,-4.789520725E1,8.240446467E2,1.560999966E1,2.877000122E2,3.790092468E0,2.500000000E0
9.176672345E1,-2.200368993E1,-4.789536276E1,8.239503748E2,1.589000034E1,2.876000061E2,3.790092468E0,2.500000000E0
9.276713189E1,-2.200364574E1,-4.789550880E1,8.238058023E2,1.605999947E1,2.872999878E2,3.790092468E0,2.500000000E0
9.376705903E1,-2.200360978E1,-4.789565589E1,8.235088818E2,1.625000000E1,2.870000000E2,3.790092468E0,2.500000000E0
9.476663976E1,-2.200357386E1,-4.789581224E1,8.234170504E2,1.631999969E1,2.870000000E2,3.790092468E0,2.500000000E0
9.576678866E1,-2.200352689E1,-4.789596257E1,8.230278559E2,1.622999954E1,2.876000061E2,3.790092468E0,2.500000000E0
9.676597715E1,-2.200348456E1,-4.789610857E1,8.228514218E2,1.597999954E1,2.880000000E2,3.790092468E0,2.500000000E0
9.776591085E1,-2.200344132E1,-4.789625208E1,8.231076024E2,1.576000023E1,2.880000000E2,3.790092468E0,2.500000000E0
9.876585460E1,-2.200339359E1,-4.789639405E1,8.230560449E2,1.557999992E1,2.940000000E2,3.790092468E0,2.500000000E0
9.976708069E1,-2.200333791E1,-4.789652728E1,8.228534814E2,1.515999985E1,2.988999939E2,3.790092468E0,2.500000000E0
1.007669679E2,-2.200327713E1,-4.789665594E1,8.228506228E2,1.492000008E1,3.015000000E2,3.790092468E0,2.500000000E0
1.017661571E2,-2.200321000E1,-4.789678230E1,8.229743525E2,1.513000011E1,3.020000000E2,3.790092468E0,2.500000000E0
1.027658818E2,-2.200313768E1,-4.789691226E1,8.227631291E2,1.543000031E1,3.018999939E2,3.790092468E0,2.500000000E0
1.037672828E2,-2.200306895E1,-4.789704272E1,8.225357906E2,1.555000019E1,3.017000122E2,3.790092468E0,2.500000000E0
1.047657690E2,-2.200300483E1,-4.789717374E1,8.218997583E2,1.535999966E1,3.022000122E2,3.790092468E0,2.500000000E0
1.057671009E2,-2.200293167E1,-4.789730032E1,8.213806700E2,1.498999977E1,3.018999939E2,3.790092468E0,2.500000000E0
1.067658771E2,-2.200286104E1,-4.789742197E1,8.208742696E2,1.497000027E1,3.025000000E2,3.790092468E0,2.500000000E0
1.077669926E2,-2.200279815E1,-4.789753992E1,8.200836799E2,1.393999958E1,3.021000061E2,3.790092468E0,2.500000000E0
1.087670717E2,-2.200273870E1,-4.789765392E1,8.195914231E2,1.318000031E1,3.008999939E2,3.790092468E0,2.500000000E0
1.097656732E2,-2.200267954E1,-4.789775712E1,8.185603349E2,1.215999985E1,3.012000122E2,3.790092468E0,2.500000000E0
1.107665932E2,-2.200262750E1,-4.789785109E1,8.184876050E2,1.096000004E1,3.022000122E2,3.790092468E0,2.500000000E0
1.117657408E2,-2.200258067E1,-4.789793106E1,8.182433463E2,9.350000381E0,3.026000061E2,3.790092468E0,2.500000000E0
1.127674811E2,-2.200254328E1,-4.789799947E1,8.179855177E2,7.909999847E0,3.017999878E2,3.790092468E0,2.500000000E0
1.137672001E2,-2.200250906E1,-4.789805588E1,8.176228144E2,6.820000172E0,3.025000000E2,3.790092468E0,2.500000000E0
1.147660258E2,-2.200248477E1,-4.789809951E1,8.174019351E2,5.090000153E0,3.038999939E2,3.790092468E0,2.500000000E0
1.157669824E2,-2.200246436E1,-4.789813057E1,8.170889972E2,3.450000048E0,3.061000061E2,3.790092468E0,2.500000000E0
1.167655193E2,-2.200245923E1,-4.789813453E1,8.170125893E2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.177666652E2,-2.200245682E1,-4.789813518E1,8.171388124E2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.187666793E2,-2.200246084E1,-4.789814005E1,8.166783663E2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.197672226E2,-2.200245989E1,-4.789814038E1,8.167645490E2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.207665081E2,-2.200245925E1,-4.789814023E1,8.167550277E2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.217670470E2,-2.200246119E1,-4.789814052E1,8.168092260E2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.227674671E2,-2.200245799E1,-4.789814754E1,8.167106036E2,1.279999971E0,3.061000061E2,3.790092468E0,2.500000000E0
1.237667996E2,-2.200244291E1,-4.789816844E1,8.166502137E2,2.990000010E0,3.080000000E2,3.790092468E0,2.500000000E0
1.247656104E2,-2.200242255E1,-4.789819853E1,8.163773137E2,4.110000134E0,3.085000000E2,3.790092468E0,2.500000000E0
1.257655010E2,-2.200238962E1,-4.789824242E1,8.161985546E2,5.960000038E0,3.086000061E2,3.790092468E0,2.500000000E0
1.267661526E2,-2.200235146E1,-4.789829886E1,8.158380512E2,7.789999962E0,3.072000122E2,3.790092468E0,2.500000000E0
1.277657283E2,-2.200230829E1,-4.789836938E1,8.157608931E2,8.800000191E0,3.013999939E2,3.790092468E0,2.500000000E0
1.287660949E2,-2.200227201E1,-4.789844576E1,8.158015352E2,9.060000420E0,2.956000061E2,3.790092468E0,2.500000000E0
1.297657515E2,-2.200224358E1,-4.789853236E1,8.154792692E2,9.539999962E0,2.891000061E2,3.790092468E0,2.500000000E0
1.307673502E2,-2.200221114E1,-4.789862600E1,8.150331129E2,1.023999977E1,2.895000000E2,3.790092468E0,2.500000000E0
1.317671301E2,-2.200216841E1,-4.789872112E1,8.141367698E2,1.122999954E1,2.953999939E2,3.790092468E0,2.500000000E0
1.327666789E2,-2.200211879E1,-4.789882230E1,8.137630215E2,1.181000042E1,2.985000000E2,3.790092468E0,2.500000000E0
1.337661706E2,-2.200206598E1,-4.789892699E1,8.135947239E2,1.214999962E1,2.965000000E2,3.790092468E0,2.500000000E0
1.347669572E2,-2.200202860E1,-4.789901921E1,8.132475681E2,1.031000042E1,2.920000000E2,3.790092468E0,2.500000000E0
1.357674760E2,-2.200200045E1,-4.789910204E1,8.134259078E2,8.989999771E0,2.865000000E2,3.790092468E0,2.500000000E0
1.367658123E2,-2.200198237E1,-4.789918592E1,8.132109316E2,8.689999580E0,2.827999878E2,3.790092468E0,2.500000000E0
1.377674720E2,-2.200197092E1,-4.789926600E1,8.127586417E2,8.270000458E0,2.782000122E2,3.790092468E0,2.500000000E0
1.387658954E2,-2.200196548E1,-4.789934371E1,8.122497045E2,7.809999943E0,2.748999939E2,3.790092468E0,2.500000000E0
1.397669439E2,-2.200195919E1,-4.789941432E1,8.119674439E2,7.219999790E0,2.741000061E2,3.790092468E0,2.500000000E0
1.407672774E2,-2.200195680E1,-4.789948312E1,8.116129130E2,6.989999771E0,2.700000000E2,3.790092468E0,2.500000000E0
1.417666316E2,-2.200195950E1,-4.789954542E1,8.112483612E2,6.179999828E0,2.647999878E2,3.790092468E0,2.500000000E0
1.427661915E2,-2.200196673E1,-4.789960468E1,8.109575333E2,5.969999790E0,2.577999878E2,3.790092468E0,2.500000000E0
1.437656989E2,-2.200197944E1,-4.789966080E1,8.107822986E2,5.639999866E0,2.496000061E2,3.790092468E0,2.500000000E0
1.447657951E2,-2.200200144E1,-4.789971900E1,8.105460251E2,6.699999809E0,2.450000000E2,3.790092468E0,2.500000000E0
1.457674382E2,-2.200203013E1,-4.789978402E1,8.101864643E2,7.340000153E0,2.426999969E2,3.790092468E0,2.500000000E0
1.467658824E2,-2.200206359E1,-4.789984737E1,8.099313905E2,7.320000172E0,2.433999939E2,3.790092468E0,2.500000000E0
1.477662483E2,-2.200209089E1,-4.789991323E1,8.096497124E2,7.570000172E0,2.468000031E2,3.790092468E0,2.500000000E0
1.487667888E2,-2.200210922E1,-4.789998226E1,8.091510031E2,7.869999886E0,2.530000000E2,3.790092468E0,2.500000000E0
1.497672547E2,-2.200212149E1,-4.790006266E1,8.086628092E2,8.229999542E0,2.625000000E2,3.790092468E0,2.500000000E0
1.507668888E2,-2.200212525E1,-4.790014521E1,8.090731832E2,8.689999580E0,2.682000122E2,3.790092468E0,2.500000000E0
1.517666570E2,-2.200212964E1,-4.790022991E1,8.090968405E2,9.020000458E0,2.687999878E2,3.790092468E0,2.500000000E0
1.527666082E2,-2.200213633E1,-4.790031374E1,8.083156857E2,8.090000153E0,2.667000122E2,3.790092468E0,2.500000000E0
1.537668995E2,-2.200214041E1,-4.790038597E1,8.082845188E2,7.320000172E0,2.652999878E2,3.790092468E0,2.500000000E0
1.547673719E2,-2.200214748E1,-4.790045350E1,8.082701901E2,7.019999981E0,2.612999878E2,3.790092468E0,2.500000000E0
1.557669774E2,-2.200216159E1,-4.790051788E1,8.081071714E2,6.489999771E0,2.526000061E2,3.790092468E0,2.500000000E0
1.567675173E2,-2.200217923E1,-4.790057157E1,8.083218231E2,5.710000038E0,2.421000061E2,3.790092468E0,2.500000000E0
1.577660199E2,-2.200221549E1,-4.790061082E1,8.073717726E2,5.550000191E0,2.288000031E2,3.790092468E0,2.500000000E0
1.587663970E2,-2.200225773E1,-4.790064025E1,8.058035423E2,6.320000172E0,2.153999939E2,3.790092468E0,2.500000000E0
1.597671824E2,-2.200230432E1,-4.790066523E1,8.061145763E2,6.599999905E0,2.008999939E2,3.790092468E0,2.500000000E0
1.607672210E2,-2.200236373E1,-4.790067555E1,8.062849595E2,7.150000095E0,1.846000061E2,3.790092468E0,2.500000000E0
1.617674803E2,-2.200243100E1,-4.790066788E1,8.066418395E2,7.590000153E0,1.663000031E2,3.790092468E0,2.500000000E0
1.627675132E2,-2.200250313E1,-4.790064715E1,8.065599801E2,8.050000191E0,1.640000000E2,3.790092468E0,2.500000000E0
1.637668102E2,-2.200257855E1,-4.790062851E1,8.064762899E2,8.520000458E0,1.666000061E2,3.790092468E0,2.500000000E0
1.647670588E2,-2.200265680E1,-4.790062127E1,8.071284512E2,8.750000000E0,1.750000000E2,3.790092468E0,2.500000000E0
1.657669677E2,-2.200273678E1,-4.790062147E1,8.068080861E2,8.500000000E0,1.813000031E2,3.790092468E0,2.500000000E0
1.667674790E2,-2.200280952E1,-4.790062654E1,8.069183956E2,8.340000153E0,1.833999939E2,3.790092468E0,2.500000000E0
1.677667436E2,-2.200288571E1,-4.790063210E1,8.068414476E2,8.319999695E0,1.833000031E2,3.790092468E0,2.500000000E0
1.687659451E2,-2.200295881E1,-4.790063748E1,8.066180169E2,7.940000057E0,1.836999969E2,3.790092468E0,2.500000000E0
1.697667973E2,-2.200303066E1,-4.790064147E1,8.062471246E2,7.530000210E0,1.846999969E2,3.790092468E0,2.500000000E0
1.707673684E2,-2.200309130E1,-4.790064694E1,8.061301476E2,6.489999771E0,1.853999939E2,3.790092468E0,2.500000000E0
1.717666335E2,-2.200314502E1,-4.790065509E1,8.058884226E2,5.829999924E0,1.851999969E2,3.790092468E0,2.500000000E0
1.727669676E2,-2.200319079E1,-4.790065730E1,8.059469887E2,5.139999866E0,1.846999969E2,3.790092468E0,2.500000000E0
1.737655595E2,-2.200323796E1,-4.790066151E1,8.059452535E2,4.599999905E0,1.841999969E2,3.790092468E0,2.500000000E0
1.747664704E2,-2.200328655E1,-4.790066574E1,8.060854852E2,5.530000210E0,1.846999969E2,3.790092468E0,2.500000000E0
1.757663730E2,-2.200334649E1,-4.790066724E1,8.061610089E2,6.210000038E0,1.851000061E2,3.790092468E0,2.500000000E0
1.767658887E2,-2.200340074E1,-4.790067502E1,8.059864218E2,5.760000229E0,1.851999969E2,3.790092468E0,2.500000000E0
1.777670845E2,-2.200344990E1,-4.790068117E1,8.059892042E2,5.380000114E0,1.873000031E2,3.790092468E0,2.500000000E0
1.787660621E2,-2.200350038E1,-4.790069581E1,8.070980749E2,5.719999790E0,1.906000061E2,3.790092468E0,2.500000000E0
1.797670190E2,-2.200354665E1,-4.790071088E1,8.071610506E2,5.429999828E0,1.975000000E2,3.790092468E0,2.500000000E0
1.807660477E2,-2.200359536E1,-4.790072730E1,8.081125760E2,5.269999981E0,2.048000031E2,3.790092468E0,2.530052423E0
1.817669099E2,-2.200363055E1,-4.790076055E1,8.087632270E2,5.940000057E0,2.115000000E2,3.790092468E0,2.724866629E0
1.827666487E2,-2.200368281E1,-4.790079169E1,8.085059052E2,6.019999981E0,2.183999939E2,3.790092468E0,3.116931915E0
1.837673051E2,-2.200372094E1,-4.790083261E1,8.083423544E2,6.079999924E0,2.271999969E2,3.790092468E0,3.166454554E0
1.847656568E2,-2.200375847E1,-4.790088111E1,8.085079146E2,6.519999981E0,2.355000000E2,3.790092468E0,3.391334534E0
1.857674185E2,-2.200377780E1,-4.790092410E1,8.072994569E2,6.619999886E0,2.431999969E2,3.790092468E0,3.514846563E0
1.867669372E2,-2.200380093E1,-4.790098920E1,8.075712475E2,7.139999866E0,2.501999969E2,3.790092468E0,3.567816257E0
1.877671231E2,-2.200381584E1,-4.790105713E1,8.077468555E2,7.010000229E0,2.602999878E2,3.790092468E0,3.373876810E0
1.887668905E2,-2.200382446E1,-4.790111962E1,8.077428958E2,6.940000057E0,2.692999878E2,3.790092468E0,3.250021696E0
1.897673490E2,-2.200382066E1,-4.790119128E1,8.080515772E2,7.010000229E0,2.753999939E2,3.790092468E0,3.098661423E0
1.907665623E2,-2.200381510E1,-4.790126169E1,8.083353560E2,7.110000134E0,2.772000122E2,3.790092468E0,2.861125946E0
1.917658614E2,-2.200380838E1,-4.790133197E1,8.085744576E2,7.050000191E0,2.776000061E2,3.790092468E0,2.592149258E0
1.927672840E2,-2.200380186E1,-4.790140205E1,8.088053802E2,7.010000229E0,2.737000122E2,3.790092468E0,2.503015757E0
1.937674577E2,-2.200381203E1,-4.790147651E1,8.096255304E2,7.269999981E0,2.663999939E2,3.790092468E0,2.500000000E0
1.947670887E2,-2.200382238E1,-4.790154976E1,8.100279543E2,7.650000095E0,2.617000122E2,3.790092468E0,2.500000000E0
1.957665889E2,-2.200384338E1,-4.790163100E1,8.099521093E2,8.449999809E0,2.563999939E2,3.790092468E0,2.500000000E0
1.967656332E2,-2.200386485E1,-4.790170739E1,8.102202523E2,8.229999542E0,2.551999969E2,3.790092468E0,2.500000000E0
1.977669596E2,-2.200388308E1,-4.790178222E1,8.111292648E2,8.090000153E0,2.543000031E2,3.790092468E0,2.500000000E0
1.987675387E2,-2.200391013E1,-4.790185932E1,8.115822194E2,8.350000381E0,2.470000000E2,3.790092468E0,2.500000000E0
1.997669078E2,-2.200395181E1,-4.790193516E1,8.114729070E2,9.100000381E0,2.393999939E2,3.790092468E0,2.500000000E0
2.007673848E2,-2.200400286E1,-4.790200851E1,8.113931265E2,9.890000343E0,2.298000031E2,3.790092468E0,2.500000000E0
2.017662665E2,-2.200406973E1,-4.790208866E1,8.114217421E2,1.077000046E1,2.223000031E2,3.790092468E0,2.500000000E0
2.027657548E2,-2.200415127E1,-4.790215692E1,8.116488201E2,1.205000019E1,2.155000000E2,3.790092468E0,2.500000000E0
2.037665283E2,-2.200423636E1,-4.790223061E1,8.114982167E2,1.278999996E1,2.151000061E2,3.790092468E0,2.500000000E0
2.047672124E2,-2.200433190E1,-4.790230407E1,8.106801257E2,1.310000038E1,2.153999939E2,3.790092468E0,2.500000000E0
2.057668198E2,-2.200443287E1,-4.790238034E1,8.102868391E2,1.360000038E1,2.158999939E2,3.790092468E0,2.500000000E0
2.067675135E2,-2.200453197E1,-4.790245900E1,8.105507831E2,1.360999966E1,2.158999939E2,3.790092468E0,2.500000000E0
2.077658910E2,-2.200463995E1,-4.790253726E1,8.106238029E2,1.334000015E1,2.143999939E2,3.790092468E0,2.608933449E0
