"event","experiment time","system time","system time text"
"START",0.000000000E0,1758803516.665,"2025-09-25 09:31:56.665 UTC-03:00"
"PAUSE",3.532150336E2,1758803869.880,"2025-09-25 09:37:49.880 UTC-03:00"
