"event","experiment time","system time","system time text"
"START",0.000000000E0,1758504967.349,"2025-09-21 22:36:07.349 UTC-03:00"
"PAUSE",3.678717931E1,1758505004.136,"2025-09-21 22:36:44.136 UTC-03:00"
