"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.694524660E-1,-2.823530674E0,1.105484009E0,1.012642574E1
1.715591320E-1,-2.809173822E0,1.076770186E0,1.019342422E1
1.736656950E-1,-2.766103029E0,1.043270707E0,1.019820976E1
1.757723620E-1,-2.756531715E0,1.004985452E0,1.020778179E1
1.778789760E-1,-2.713460922E0,9.571290612E-1,1.021735287E1
1.799855910E-1,-2.723032236E0,9.236295223E-1,1.021735287E1
1.820922050E-1,-2.689532757E0,8.662018180E-1,1.024606609E1
1.841988200E-1,-2.679961443E0,8.327022791E-1,1.024606609E1
1.863054340E-1,-2.670390129E0,8.087740541E-1,1.025085258E1
1.884121010E-1,-2.660818815E0,7.896314859E-1,1.022692394E1
1.905187160E-1,-2.646461725E0,7.704889178E-1,1.025563812E1
1.926253300E-1,-2.627319336E0,7.417750359E-1,1.023649502E1
1.947319450E-1,-2.622533560E0,7.417750359E-1,1.023649502E1
1.968385590E-1,-2.622533560E0,7.369893789E-1,1.021735287E1
1.989452260E-1,-2.612962246E0,7.322037220E-1,1.019342422E1
2.010518410E-1,-2.612962246E0,7.274180651E-1,1.019342422E1
2.031584550E-1,-2.656033039E0,7.274180651E-1,1.019342422E1
2.052650700E-1,-2.665604353E0,7.609176040E-1,1.015992451E1
2.073717370E-1,-2.694318295E0,7.561319470E-1,1.008814049E1
2.094783510E-1,-2.689532757E0,8.087740541E-1,1.006421185E1
2.115849660E-1,-2.718246460E0,8.470591903E-1,1.004985523E1
2.136916320E-1,-2.727817774E0,8.757730722E-1,1.001156998E1
2.157982470E-1,-2.708675146E0,8.805587292E-1,9.954142570E0
2.179048620E-1,-2.703889608E0,9.044869542E-1,9.925428391E0
2.200114760E-1,-2.694318295E0,8.757730722E-1,9.901499748E0
2.221180910E-1,-2.684746981E0,8.662018180E-1,9.872786522E0
2.242247050E-1,-2.641676188E0,8.518448472E-1,9.853643417E0
2.263313200E-1,-2.627319336E0,8.279166222E-1,9.853643417E0
2.284379340E-1,-2.608176708E0,8.039883971E-1,9.872786522E0
2.305446010E-1,-2.589034081E0,7.944171429E-1,9.915857315E0
2.326512160E-1,-2.569891453E0,7.609176040E-1,9.939785004E0
2.347578300E-1,-2.545963287E0,7.513462901E-1,9.963713646E0
2.368644450E-1,-2.502892494E0,7.226324677E-1,9.963713646E0
2.389711120E-1,-2.464607239E0,7.130611539E-1,9.978070259E0
2.410777260E-1,-2.440679073E0,7.034898400E-1,9.963713646E0
2.431843410E-1,-2.402393818E0,6.795616150E-1,9.968499184E0
2.452909550E-1,-2.359323025E0,6.604190469E-1,9.973284721E0
2.473976220E-1,-2.311466694E0,6.412764788E-1,9.968499184E0
2.495042370E-1,-2.287538528E0,6.077769399E-1,9.954142570E0
2.516108510E-1,-2.263610125E0,5.694918036E-1,9.973284721E0
2.537174660E-1,-2.254039049E0,5.599204898E-1,9.958928108E0
2.558240800E-1,-2.239681959E0,5.455635786E-1,9.934999466E0
2.579306950E-1,-2.230110645E0,5.455635786E-1,9.949356079E0
2.600373620E-1,-2.249253273E0,5.503492355E-1,9.958928108E0
2.621439240E-1,-2.239681959E0,5.503492355E-1,9.949356079E0
2.642505910E-1,-2.254039049E0,5.647061467E-1,9.968499184E0
2.663572050E-1,-2.263610125E0,5.647061467E-1,9.973284721E0
2.684638200E-1,-2.287538528E0,5.694918036E-1,9.958928108E0
2.705704340E-1,-2.287538528E0,5.838487148E-1,9.949356079E0
2.726770490E-1,-2.287538528E0,5.886343718E-1,9.944570541E0
2.747837160E-1,-2.297109842E0,5.838487148E-1,9.934999466E0
2.768903300E-1,-2.335394859E0,6.029912829E-1,9.906285286E0
2.789969970E-1,-2.330609322E0,5.886343718E-1,9.891928673E0
2.811036120E-1,-2.340180635E0,5.790630579E-1,9.863214493E0
2.832102260E-1,-2.344966173E0,5.599204898E-1,9.848857880E0
2.853168410E-1,-2.359323025E0,5.551348329E-1,9.824930191E0
2.874234550E-1,-2.349751949E0,5.455635786E-1,9.820143700E0
2.895300700E-1,-2.359323025E0,5.216353536E-1,9.810572624E0
2.916367370E-1,-2.325823545E0,5.216353536E-1,9.810572624E0
2.937433510E-1,-2.325823545E0,5.072783828E-1,9.801001549E0
2.958499660E-1,-2.287538528E0,4.977070987E-1,9.805787086E0
2.979565800E-1,-2.277967215E0,4.785645306E-1,9.824930191E0
3.000632470E-1,-2.249253273E0,4.689932466E-1,9.839286804E0
3.021698090E-1,-2.234896421E0,4.498506486E-1,9.839286804E0
3.042764760E-1,-2.201396942E0,4.498506486E-1,9.777072906E0
3.063830910E-1,-2.148754835E0,4.402793646E-1,9.729216576E0
3.084897050E-1,-2.100898266E0,4.211367965E-1,9.628718376E0
3.105963200E-1,-2.148754835E0,4.354937077E-1,9.824930191E0
3.127029340E-1,-2.167897224E0,4.642075896E-1,9.954142570E0
3.148096010E-1,-2.167897224E0,4.737788737E-1,9.911071777E0
3.169162160E-1,-2.153540373E0,4.737788737E-1,9.820143700E0
3.190228300E-1,-2.134397745E0,4.881358147E-1,9.753145218E0
3.211294450E-1,-2.086541414E0,4.785645306E-1,9.671789169E0
3.232360590E-1,-2.072184324E0,5.120640397E-1,9.623932838E0
3.253426740E-1,-2.053041935E0,5.120640397E-1,9.556933403E0
3.274493410E-1,-2.014756680E0,5.216353536E-1,9.485149384E0
3.295559550E-1,-2.014756680E0,5.359922647E-1,9.403793335E0
3.316625700E-1,-2.014756680E0,5.359922647E-1,9.332008362E0
3.337692370E-1,-2.014756680E0,5.455635786E-1,9.274580956E0
3.358758510E-1,-2.009970903E0,5.647061467E-1,9.245866776E0
3.379824660E-1,-2.019542217E0,5.599204898E-1,9.169296265E0
3.400890800E-1,-2.024327993E0,5.599204898E-1,9.121439934E0
3.421956950E-1,-2.024327993E0,5.359922647E-1,9.092725754E0
3.443023090E-1,-2.029113531E0,5.264210105E-1,9.049654961E0
3.464089760E-1,-2.048256159E0,5.359922647E-1,9.011369705E0
3.485155390E-1,-2.033899307E0,5.407779217E-1,8.997013092E0
3.506222050E-1,-2.048256159E0,5.264210105E-1,9.001798630E0
3.527288200E-1,-2.033899307E0,5.455635786E-1,8.987442017E0
3.548354340E-1,-2.024327993E0,5.359922647E-1,9.011369705E0
3.569420490E-1,-2.019542217E0,4.977070987E-1,9.001798630E0
3.590487160E-1,-1.962114573E0,4.689932466E-1,8.997013092E0
3.611553300E-1,-1.923829436E0,4.498506486E-1,8.977870941E0
3.632619450E-1,-1.909472466E0,4.163511395E-1,9.092725754E0
3.653685590E-1,-1.909472466E0,3.780659735E-1,9.260223389E0
3.674751740E-1,-1.890329838E0,3.302095234E-1,9.317651749E0
3.695818410E-1,-1.866401672E0,2.871387303E-1,9.399007797E0
3.716884550E-1,-1.828116536E0,2.249253243E-1,9.446864128E0
3.737950700E-1,-1.789831281E0,1.914258152E-1,9.504291534E0
3.759016840E-1,-1.751546144E0,1.435693651E-1,9.556933403E0
3.780082990E-1,-1.708475351E0,1.052841991E-1,9.604789734E0
3.801149140E-1,-1.655833244E0,4.785645381E-2,9.681360245E0
3.822215800E-1,-1.598405480E0,-9.571290575E-3,9.734002113E0
3.843281950E-1,-1.569691658E0,-6.221338734E-2,9.796216011E0
3.864348090E-1,-1.540977836E0,-1.244267747E-1,9.848857880E0
3.885414240E-1,-1.521835208E0,-1.531406492E-1,9.925428391E0
3.906480910E-1,-1.493121386E0,-2.009970993E-1,9.973284721E0
3.927547050E-1,-1.483550072E0,-2.488535494E-1,9.978070259E0
3.948613200E-1,-1.502692580E0,-2.727817893E-1,1.002114105E1
3.969679340E-1,-1.502692580E0,-3.062812984E-1,1.006421185E1
3.990745490E-1,-1.497906923E0,-3.062812984E-1,1.007378292E1
4.011811640E-1,-1.531406522E0,-3.110669553E-1,1.008814049E1
4.032878300E-1,-1.531406522E0,-3.254238665E-1,1.007378292E1
4.053944450E-1,-1.540977836E0,-3.158525825E-1,1.007378292E1
4.075010590E-1,-1.550549030E0,-3.110669553E-1,1.008335495E1
