"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.153934100E-2,0.000000000E0,0.000000000E0,0.000000000E0
1.653934100E-2,4.467940331E-2,1.407378912E-2,1.511745453E-1
2.153934100E-2,1.346457005E-1,1.270055175E-1,3.275327682E-1
2.653934100E-2,2.858409882E-1,2.765644789E-1,5.687103271E-1
3.153934100E-2,4.523921013E-1,4.481236935E-1,7.181091309E-1
3.653934100E-2,5.479679108E-1,6.023919582E-1,7.842922211E-1
4.153934100E-2,5.438487530E-1,7.038750648E-1,8.292064667E-1
4.653934100E-2,4.834053516E-1,7.586567402E-1,8.392419815E-1
5.153934100E-2,4.182612896E-1,7.855216265E-1,7.207784653E-1
5.653934100E-2,3.471574783E-1,7.767314911E-1,4.764728546E-1
6.153934100E-2,2.510046959E-1,7.615151405E-1,1.179962158E-1
6.653934100E-2,6.491875648E-2,6.864392757E-1,-2.054195404E-1
7.153934100E-2,-1.010622978E-1,6.039911509E-1,-5.642175674E-1
7.653934100E-2,-2.263278961E-1,5.301525593E-1,-9.631090164E-1
8.153934100E-2,-3.385119438E-1,4.522224665E-1,-1.241710663E0
8.653934100E-2,-4.359323978E-1,3.687716722E-1,-1.419535637E0
9.153934100E-2,-5.196812153E-1,2.861237526E-1,-1.502852440E0
9.653934100E-2,-5.537135601E-1,1.541363001E-1,-1.534724236E0
1.015393410E-1,-5.961077213E-1,1.081657410E-2,-1.604015350E0
1.065393410E-1,-6.261408329E-1,-1.265082359E-1,-1.641138077E0
1.115393410E-1,-6.606266499E-1,-2.462590933E-1,-1.648161888E0
1.165393410E-1,-6.426019669E-1,-3.472638130E-1,-1.602320194E0
1.215393410E-1,-6.282081604E-1,-3.931262493E-1,-1.473165035E0
1.265393410E-1,-5.683972836E-1,-3.955533504E-1,-1.335779190E0
1.315393410E-1,-4.982731342E-1,-3.787919283E-1,-1.240187645E0
1.365393410E-1,-4.371254444E-1,-3.096215725E-1,-1.041525841E0
1.415393410E-1,-3.869893551E-1,-2.304461002E-1,-7.630414963E-1
