"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.965393410E-1,8.772261861E-1,-1.822256111E-2,1.401734054E-1,4.587957859E-1,5.738090205E1,5.748848203E0,1.522726895E1,5.598888646E1
2.015393410E-1,8.775106547E-1,-1.826702431E-2,1.382713616E-1,4.588271976E-1,5.731296429E1,5.634844602E0,1.503636179E1,5.595201468E1
2.065393410E-1,8.777554475E-1,-1.822803356E-2,1.365096867E-1,4.588880241E-1,5.725444302E1,5.538318402E0,1.485498642E1,5.592343585E1
2.115393410E-1,8.779510535E-1,-1.810193807E-2,1.349048615E-1,4.589934051E-1,5.720764117E1,5.460763517E0,1.468454778E1,5.590535765E1
2.165393410E-1,8.781119789E-1,-1.789099351E-2,1.334169954E-1,4.591287076E-1,5.716911089E1,5.399319184E0,1.452122664E1,5.589483981E1
2.215393410E-1,8.782676568E-1,-1.768090948E-2,1.319632977E-1,4.592591822E-1,5.713181438E1,5.339770959E0,1.436146704E1,5.588469592E1
2.265393410E-1,8.784367210E-1,-1.752127707E-2,1.304781288E-1,4.593662918E-1,5.709128561E1,5.272943624E0,1.420139134E1,5.587068809E1
2.315393410E-1,8.786126405E-1,-1.745163463E-2,1.289656609E-1,4.594596028E-1,5.704908543E1,5.195186398E0,1.404349232E1,5.585384366E1
2.365393410E-1,8.787837746E-1,-1.750400476E-2,1.274421662E-1,4.595554173E-1,5.700800575E1,5.104415197E0,1.389104583E1,5.583639158E1
2.415393410E-1,8.789414288E-1,-1.766899787E-2,1.259213537E-1,4.596668184E-1,5.697013782E1,5.002593928E0,1.374485651E1,5.582044876E1
2.465393410E-1,8.790800531E-1,-1.798196882E-2,1.244321465E-1,4.597951174E-1,5.693682174E1,4.887747224E0,1.360976008E1,5.580644440E1
2.515393410E-1,8.792070710E-1,-1.845965162E-2,1.229680330E-1,4.599272013E-1,5.690627937E1,4.757571735E0,1.348606822E1,5.579239092E1
2.565393410E-1,8.793125896E-1,-1.912818104E-2,1.215776354E-1,4.600677788E-1,5.688089525E1,4.612205508E0,1.338009917E1,5.577958432E1
2.615393410E-1,8.793825174E-1,-1.993657276E-2,1.202753708E-1,4.602420628E-1,5.686406730E1,4.458077084E0,1.329044351E1,5.577202617E1
2.665393410E-1,8.794151999E-1,-2.083377354E-2,1.190712973E-1,4.604529142E-1,5.685620078E1,4.301019211E0,1.321537763E1,5.577066096E1
2.715393410E-1,8.794117263E-1,-2.178278379E-2,1.179742590E-1,4.606979489E-1,5.685703690E1,4.145270250E0,1.315384135E1,5.577558047E1
2.765393410E-1,8.793835033E-1,-2.273023315E-2,1.169423610E-1,4.609690607E-1,5.686383002E1,3.993806132E0,1.309876036E1,5.578537815E1
2.815393410E-1,8.793313689E-1,-2.365423553E-2,1.159686521E-1,4.612679183E-1,5.687637649E1,3.848493934E0,1.304825675E1,5.580029659E1
2.865393410E-1,8.792716236E-1,-2.453911863E-2,1.150231287E-1,4.615722299E-1,5.689075146E1,3.708906287E0,1.299854424E1,5.581698444E1
2.915393410E-1,8.792113857E-1,-2.535307780E-2,1.140730754E-1,4.618786573E-1,5.690524159E1,3.576412945E0,1.294459797E1,5.583470493E1
2.965393410E-1,8.791585161E-1,-2.607154846E-2,1.130925864E-1,4.621803164E-1,5.691795653E1,3.451973207E0,1.288248543E1,5.585232584E1
3.015393410E-1,8.791232287E-1,-2.668332495E-2,1.120698601E-1,4.624615610E-1,5.692644154E1,3.335840851E0,1.281045648E1,5.586769146E1
3.065393410E-1,8.791019127E-1,-2.718127333E-2,1.110096723E-1,4.627287090E-1,5.693156651E1,3.229111617E0,1.272857725E1,5.588177979E1
3.115393410E-1,8.790921622E-1,-2.754445560E-2,1.099055782E-1,4.629892409E-1,5.693391066E1,3.133681720E0,1.263502840E1,5.589565079E1
3.165393410E-1,8.790684246E-1,-2.784019150E-2,1.088832989E-1,4.632580876E-1,5.693961713E1,3.049905330E0,1.254616219E1,5.591268231E1
3.215393410E-1,8.790385228E-1,-2.806715295E-2,1.079076156E-1,4.635293484E-1,5.694680473E1,2.975843071E0,1.245834659E1,5.593150644E1
