"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.203046789E0,6.467530727E-1,-7.600684762E-1,-1.990655541E0
7.205153403E0,6.369792223E-1,-7.722858191E-1,-1.996764302E0
7.207260070E0,6.259836555E-1,-7.881683111E-1,-2.001651049E0
7.209366632E0,6.174315810E-1,-8.016073108E-1,-2.010203362E0
7.211473247E0,6.052142978E-1,-8.174898028E-1,-2.015090227E0
7.213579862E0,5.942187309E-1,-8.333722949E-1,-2.021198750E0
7.215686528E0,5.807796717E-1,-8.492547870E-1,-2.027307510E0
7.217793143E0,5.697841048E-1,-8.663589954E-1,-2.032194376E0
7.219899757E0,5.612320304E-1,-8.810197115E-1,-2.039524794E0
7.222006372E0,5.526798964E-1,-8.981239200E-1,-2.044411659E0
7.224112987E0,5.441278219E-1,-9.176716208E-1,-2.051742077E0
7.226219601E0,5.429060459E-1,-9.323323965E-1,-2.056628942E0
7.228326216E0,5.343539715E-1,-9.494366050E-1,-2.063959360E0
7.230432830E0,5.343539715E-1,-9.616538882E-1,-2.068846226E0
7.232539445E0,5.343539715E-1,-9.799798131E-1,-2.073733091E0
7.234646059E0,5.331322551E-1,-9.921970963E-1,-2.079841852E0
7.236752674E0,5.367974043E-1,-1.001971006E0,-2.087172270E0
7.238859289E0,5.392408967E-1,-1.012966514E0,-2.092059135E0
7.240965903E0,5.441278219E-1,-1.023962140E0,-2.096946001E0
7.243072518E0,5.490147471E-1,-1.037401080E0,-2.101833105E0
7.245179132E0,5.539016128E-1,-1.043509722E0,-2.109163284E0
7.247285747E0,5.587885380E-1,-1.056948781E0,-2.115272045E0
7.249392362E0,5.624537468E-1,-1.069166064E0,-2.118937254E0
7.251499028E0,5.636754632E-1,-1.078939915E0,-2.126267672E0
7.253605643E0,5.685623884E-1,-1.093600631E0,-2.131154537E0
7.255712257E0,5.746710300E-1,-1.105817914E0,-2.137263060E0
7.257818872E0,5.746710300E-1,-1.116813540E0,-2.143371820E0
7.259925487E0,5.758927464E-1,-1.130252600E0,-2.149480343E0
7.262032101E0,5.795579553E-1,-1.141248107E0,-2.153145552E0
7.264138716E0,5.820014477E-1,-1.152243733E0,-2.158032656E0
7.266245330E0,5.820014477E-1,-1.166904449E0,-2.162919521E0
7.268351945E0,5.844448805E-1,-1.175456524E0,-2.167806387E0
7.270458612E0,5.844448805E-1,-1.188895583E0,-2.172693253E0
7.272565174E0,5.856665969E-1,-1.197447658E0,-2.176358461E0
7.274671789E0,5.881100893E-1,-1.205999732E0,-2.183688879E0
7.276778403E0,5.893318057E-1,-1.213330150E0,-2.189797401E0
7.278885018E0,5.893318057E-1,-1.223104000E0,-2.198349714E0
7.280991632E0,5.929969549E-1,-1.230434418E0,-2.204458237E0
7.283098247E0,5.929969549E-1,-1.238986492E0,-2.211788654E0
7.285204862E0,5.942187309E-1,-1.246316910E0,-2.220340729E0
7.287311528E0,5.954404473E-1,-1.251203775E0,-2.227671146E0
7.289418143E0,5.978838801E-1,-1.251203775E0,-2.233779669E0
7.291524757E0,5.978838801E-1,-1.254868984E0,-2.243553638E0
7.293631372E0,5.978838801E-1,-1.256090760E0,-2.253327370E0
7.295737987E0,5.954404473E-1,-1.256090760E0,-2.261879444E0
7.297844601E0,5.954404473E-1,-1.254868984E0,-2.270431757E0
7.299951216E0,5.917752385E-1,-1.248760343E0,-2.281427145E0
7.302057830E0,5.881100893E-1,-1.247538567E0,-2.291201115E0
7.304164445E0,5.844448805E-1,-1.236543059E0,-2.302196741E0
7.306271059E0,5.795579553E-1,-1.230434418E0,-2.309526920E0
7.308377674E0,5.758927464E-1,-1.220660567E0,-2.319300890E0
7.310484289E0,5.697841048E-1,-1.209664941E0,-2.327852964E0
7.312590903E0,5.661189556E-1,-1.198669434E0,-2.333961725E0
7.314697570E0,5.624537468E-1,-1.187673807E0,-2.338848591E0
7.316804184E0,5.563451052E-1,-1.171791315E0,-2.344957113E0
7.318910747E0,5.539016128E-1,-1.158352375E0,-2.351065874E0
7.321017414E0,5.477929711E-1,-1.144913316E0,-2.352287531E0
7.323123976E0,5.429060459E-1,-1.129030824E0,-2.355952740E0
7.325230643E0,5.380191803E-1,-1.118035316E0,-2.357174397E0
7.327337257E0,5.367974043E-1,-1.102152824E0,-2.357174397E0
7.329443872E0,5.343539715E-1,-1.089935541E0,-2.359617949E0
7.331550487E0,5.306887627E-1,-1.075274706E0,-2.358396292E0
7.333657101E0,5.294670463E-1,-1.061835647E0,-2.357174397E0
7.335763716E0,5.270236135E-1,-1.053283572E0,-2.354731083E0
7.337870330E0,5.282453299E-1,-1.039844513E0,-2.353509188E0
7.339976997E0,5.294670463E-1,-1.030070782E0,-2.348622322E0
7.342083559E0,5.306887627E-1,-1.022740364E0,-2.344957113E0
7.344190174E0,5.343539715E-1,-1.014188290E0,-2.338848591E0
7.346296789E0,5.367974043E-1,-1.008079648E0,-2.335183382E0
7.348403403E0,5.380191803E-1,-1.001971006E0,-2.329074621E0
7.350510070E0,5.441278219E-1,-9.958623052E-1,-2.324187756E0
7.352616684E0,5.477929711E-1,-9.885319471E-1,-2.318079233E0
7.354723299E0,5.514581800E-1,-9.836450219E-1,-2.313192129E0
7.356829914E0,5.551233888E-1,-9.812015295E-1,-2.305861712E0
7.358936528E0,5.587885380E-1,-9.750928879E-1,-2.298531532E0
7.361043143E0,5.661189556E-1,-9.775363803E-1,-2.292422771E0
7.363149757E0,5.710058808E-1,-9.775363803E-1,-2.285092354E0
7.365256372E0,5.771145225E-1,-9.799798131E-1,-2.275318623E0
7.367362987E0,5.820014477E-1,-9.799798131E-1,-2.266766548E0
7.369469601E0,5.868883133E-1,-9.824233055E-1,-2.259436131E0
7.371576216E0,5.893318057E-1,-9.860884547E-1,-2.249662161E0
7.373682830E0,5.905535221E-1,-9.836450219E-1,-2.243553638E0
7.375789497E0,5.942187309E-1,-9.860884547E-1,-2.236223221E0
7.377896059E0,5.954404473E-1,-9.921970963E-1,-2.230114698E0
7.380002726E0,5.954404473E-1,-9.885319471E-1,-2.222784281E0
7.382109341E0,5.929969549E-1,-9.885319471E-1,-2.215453863E0
7.384215903E0,5.917752385E-1,-9.873101711E-1,-2.210566998E0
7.386322570E0,5.905535221E-1,-9.873101711E-1,-2.204458237E0
7.388429184E0,5.917752385E-1,-9.836450219E-1,-2.200793028E0
7.390535799E0,5.905535221E-1,-9.848667383E-1,-2.194684505E0
7.392642414E0,5.881100893E-1,-9.812015295E-1,-2.188575745E0
7.394749028E0,5.868883133E-1,-9.775363803E-1,-2.181245327E0
7.396855643E0,5.844448805E-1,-9.726494551E-1,-2.175136805E0
7.398962257E0,5.832231641E-1,-9.677625299E-1,-2.169028044E0
7.401068872E0,5.844448805E-1,-9.604321718E-1,-2.162919521E0
7.403175487E0,5.832231641E-1,-9.567669630E-1,-2.156810760E0
7.405282153E0,5.820014477E-1,-9.518800378E-1,-2.154367447E0
7.407388716E0,5.795579553E-1,-9.469931126E-1,-2.149480343E0
7.409495382E0,5.795579553E-1,-9.433279634E-1,-2.147037029E0
7.411601997E0,5.771145225E-1,-9.372192621E-1,-2.144593477E0
7.413708612E0,5.783362389E-1,-9.311106205E-1,-2.142150164E0
7.415815226E0,5.783362389E-1,-9.286671877E-1,-2.138484955E0
7.417921841E0,5.783362389E-1,-9.225585461E-1,-2.136041403E0
7.420028455E0,5.795579553E-1,-9.225585461E-1,-2.134819746E0
7.422135070E0,5.820014477E-1,-9.140064120E-1,-2.132376194E0
7.424241684E0,5.832231641E-1,-9.078977704E-1,-2.128710985E0
7.426348299E0,5.856665969E-1,-9.042325616E-1,-2.125045776E0
7.428454914E0,5.881100893E-1,-9.017891288E-1,-2.122602463E0
7.430561528E0,5.893318057E-1,-9.017891288E-1,-2.121380568E0
7.432668143E0,5.905535221E-1,-9.017891288E-1,-2.116493702E0
7.434774757E0,5.917752385E-1,-9.054543376E-1,-2.114050388E0
7.436881372E0,5.942187309E-1,-9.115629792E-1,-2.107941628E0
7.438987987E0,5.954404473E-1,-9.115629792E-1,-2.105498075E0
7.441094601E0,5.978838801E-1,-9.250019789E-1,-2.099389553E0
7.443201268E0,5.991056561E-1,-9.311106205E-1,-2.094502687E0
7.445307882E0,5.991056561E-1,-9.384410381E-1,-2.090837479E0
7.447414445E0,6.027708054E-1,-9.469931126E-1,-2.084728718E0
7.449521112E0,6.015490890E-1,-9.555452466E-1,-2.077398300E0
7.451627726E0,5.991056561E-1,-9.714277387E-1,-2.071289778E0
7.453734341E0,5.978838801E-1,-9.848667383E-1,-2.062737703E0
7.455840955E0,5.929969549E-1,-1.000749230E0,-2.055407286E0
7.457947570E0,5.917752385E-1,-1.019075155E0,-2.048076868E0
7.460054184E0,5.868883133E-1,-1.041066289E0,-2.039524794E0
7.462160799E0,5.844448805E-1,-1.065500855E0,-2.032194376E0
7.464267414E0,5.795579553E-1,-1.091157198E0,-2.023642302E0
7.466374028E0,5.722275972E-1,-1.119256973E0,-2.013868570E0
7.468480695E0,5.661189556E-1,-1.152243733E0,-2.005316257E0
7.470587309E0,5.600103140E-1,-1.180343509E0,-1.996764302E0
7.472693924E0,5.477929711E-1,-1.212108493E0,-1.990655541E0
7.474800539E0,5.367974043E-1,-1.241429925E0,-1.984546900E0
7.476907101E0,5.209149122E-1,-1.273194909E0,-1.978438258E0
7.479013768E0,5.025889874E-1,-1.298851252E0,-1.973551393E0
7.481120382E0,4.818195999E-1,-1.320842385E0,-1.967442751E0
7.483226997E0,4.586067200E-1,-1.347720385E0,-1.962555766E0
7.485333612E0,4.329504073E-1,-1.369711518E0,-1.955225468E0
7.487440226E0,4.024071693E-1,-1.392924428E0,-1.950338483E0
7.489546841E0,3.706422150E-1,-1.418580770E0,-1.943008184E0
7.491653455E0,3.413206935E-1,-1.432019711E0,-1.935677767E0
7.493760070E0,3.107774556E-1,-1.446680546E0,-1.928347349E0
7.495866684E0,2.826776803E-1,-1.452789187E0,-1.916130066E0
7.497973351E0,2.545779049E-1,-1.458897829E0,-1.905134559E0
7.500079914E0,2.264781147E-1,-1.454010844E0,-1.895360708E0
7.502186580E0,1.996000707E-1,-1.443015337E0,-1.886808634E0
7.504293195E0,1.751654744E-1,-1.425911069E0,-1.878256440E0
7.506399809E0,1.470656991E-1,-1.405141711E0,-1.873369575E0
7.508506424E0,1.250745654E-1,-1.374598503E0,-1.869704366E0
7.510613039E0,1.043051630E-1,-1.341611743E0,-1.868482590E0
7.512719653E0,8.353576064E-2,-1.302516460E0,-1.866039157E0
7.514826268E0,6.520981342E-2,-1.263421059E0,-1.867260933E0
7.516932882E0,4.932733253E-2,-1.219438791E0,-1.868482590E0
7.519039497E0,3.344484791E-2,-1.175456524E0,-1.869704366E0
7.521146112E0,2.000582218E-2,-1.126587391E0,-1.873369575E0
7.523252726E0,6.566796452E-3,-1.071609497E0,-1.875813007E0
7.525359341E0,-6.872228812E-3,-1.017853379E0,-1.879478216E0
7.527466007E0,-1.664606482E-2,-9.628756046E-1,-1.883143425E0
7.529572622E0,-3.130681813E-2,-9.140064120E-1,-1.884365082E0
7.531679237E0,-4.230238497E-2,-8.578068614E-1,-1.885586858E0
7.533785851E0,-5.818486959E-2,-8.016073108E-1,-1.885586858E0
7.535892466E0,-7.162389904E-2,-7.490729094E-1,-1.883143425E0
7.537999080E0,-8.506292105E-2,-6.965385675E-1,-1.877034783E0
7.540105695E0,-1.033888608E-1,-6.452259421E-1,-1.872147799E0
7.542212309E0,-1.204930767E-1,-5.902481079E-1,-1.864817500E0
7.544318924E0,-1.375972927E-1,-5.487092733E-1,-1.856265306E0
7.546425539E0,-1.583666950E-1,-5.047270060E-1,-1.845269799E0
7.548532153E0,-1.754709035E-1,-4.668534100E-1,-1.834274173E0
7.550638768E0,-1.937968582E-1,-4.302015305E-1,-1.822056890E0
7.552745434E0,-2.121227980E-1,-3.898844421E-1,-1.807396173E0
7.554852049E0,-2.304487377E-1,-3.593412042E-1,-1.790291905E0
7.556958664E0,-2.487746775E-1,-3.275762498E-1,-1.770744324E0
7.559065278E0,-2.609919906E-1,-2.958112657E-1,-1.751196623E0
7.561171893E0,-2.744309902E-1,-2.725984156E-1,-1.729205489E0
7.563278507E0,-2.878700197E-1,-2.444986254E-1,-1.708436131E0
7.565385122E0,-3.037525117E-1,-2.298378795E-1,-1.685223222E0
7.567491737E0,-3.135263622E-1,-2.139553875E-1,-1.659566879E0
7.569598351E0,-3.220784664E-1,-1.956294477E-1,-1.635132313E0
7.571704966E0,-3.306305707E-1,-1.785252392E-1,-1.609475970E0
7.573811580E0,-3.367392123E-1,-1.650862098E-1,-1.582597971E0
7.575918195E0,-3.404043913E-1,-1.565341055E-1,-1.555719852E0
7.578024862E0,-3.416261375E-1,-1.479819864E-1,-1.525176644E0
7.580131424E0,-3.404043913E-1,-1.406516135E-1,-1.495855093E0
7.582238039E0,-3.355174661E-1,-1.345429718E-1,-1.468977094E0
7.584344705E0,-3.306305707E-1,-1.259908676E-1,-1.442098975E0
7.586451320E0,-3.245218992E-1,-1.235474050E-1,-1.415220976E0
7.588557934E0,-3.123046160E-1,-1.174387559E-1,-1.393229842E0
7.590664549E0,-3.037525117E-1,-1.174387559E-1,-1.367573500E0
7.592771164E0,-2.939786613E-1,-1.137735620E-1,-1.346804142E0
7.594877778E0,-2.817613780E-1,-1.149952933E-1,-1.324813008E0
7.596984393E0,-2.695440948E-1,-1.198822111E-1,-1.302821875E0
7.599091007E0,-2.561050653E-1,-1.198822111E-1,-1.284495950E0
7.601197622E0,-2.451094985E-1,-1.198822111E-1,-1.267391682E0
7.603304237E0,-2.341139317E-1,-1.235474050E-1,-1.249065757E0
7.605410851E0,-2.206749022E-1,-1.247691289E-1,-1.233183265E0
7.607517466E0,-2.133445293E-1,-1.333212405E-1,-1.218522549E0
7.609624080E0,-2.035706937E-1,-1.430950761E-1,-1.206305265E0
7.611730695E0,-1.937968582E-1,-1.553123742E-1,-1.196531415E0
7.613837362E0,-1.840230078E-1,-1.711948514E-1,-1.186757565E0
7.615943924E0,-1.730274558E-1,-1.882990748E-1,-1.179427147E0
7.618050591E0,-1.595884264E-1,-2.017380893E-1,-1.174540281E0
7.620157205E0,-1.510363221E-1,-2.225074917E-1,-1.168431640E0
7.622263820E0,-1.412624866E-1,-2.420551628E-1,-1.162322998E0
7.624370434E0,-1.327103674E-1,-2.616028488E-1,-1.162322998E0
7.626477049E0,-1.217148080E-1,-2.762635946E-1,-1.159879446E0
7.628583664E0,-1.168278903E-1,-2.982547283E-1,-1.162322998E0
7.630690278E0,-1.046105921E-1,-3.141372204E-1,-1.164766431E0
7.632796893E0,-9.972367436E-2,-3.349066079E-1,-1.169653296E0
7.634903507E0,-9.117157012E-2,-3.495673835E-1,-1.175761938E0
7.637010122E0,-8.506292105E-2,-3.666715920E-1,-1.185535789E0
7.639116789E0,-7.895427197E-2,-3.862192631E-1,-1.191644430E0
7.641223403E0,-7.040216774E-2,-4.008800089E-1,-1.203861713E0
7.643330018E0,-6.307178736E-2,-4.143190384E-1,-1.213635564E0
7.645436580E0,-5.696314201E-2,-4.302015305E-1,-1.224631190E0
7.647543247E0,-5.329795182E-2,-4.534143806E-1,-1.239291906E0
7.649649862E0,-4.596757516E-2,-4.656316638E-1,-1.253952622E0
7.651756476E0,-4.352411628E-2,-4.790706933E-1,-1.269835114E0
7.653863091E0,-3.741546720E-2,-4.973966479E-1,-1.286939383E0
7.655969705E0,-3.375028074E-2,-5.108356476E-1,-1.304043531E0
7.658076320E0,-3.008509055E-2,-5.218312144E-1,-1.318704367E0
7.660182934E0,-2.886336111E-2,-5.328267813E-1,-1.335808516E0
7.662289549E0,-2.519817278E-2,-5.426006317E-1,-1.352912784E0
7.664396164E0,-2.397644334E-2,-5.499309897E-1,-1.368795276E0
7.666502778E0,-2.153298259E-2,-5.584831238E-1,-1.383455992E0
7.668609445E0,-2.153298259E-2,-5.658134818E-1,-1.399338484E0
7.670716059E0,-2.031125315E-2,-5.755873322E-1,-1.412777543E0
7.672822674E0,-1.664606482E-2,-5.731438994E-1,-1.423773050E0
7.674929289E0,-1.786779426E-2,-5.719221234E-1,-1.433546901E0
7.677035903E0,-1.542433538E-2,-5.694786906E-1,-1.440877318E0
7.679142518E0,-1.542433538E-2,-5.682569742E-1,-1.445764184E0
7.681249132E0,-1.420260593E-2,-5.572614074E-1,-1.448207617E0
7.683355747E0,-1.175914705E-2,-5.487092733E-1,-1.448207617E0
7.685462362E0,-1.298087649E-2,-5.438223481E-1,-1.446985960E0
7.687568976E0,-1.298087649E-2,-5.352702737E-1,-1.443320751E0
7.689675643E0,-1.175914705E-2,-5.242747068E-1,-1.437212110E0
7.691782205E0,-5.650499370E-3,-5.145008564E-1,-1.432325244E0
7.693888872E0,-5.650499370E-3,-4.986183643E-1,-1.422551394E0
7.695995487E0,-3.207040019E-3,-4.815141559E-1,-1.411555767E0
7.698102101E0,4.581485991E-4,-4.680751264E-1,-1.399338484E0
7.700208716E0,4.123337101E-3,-4.534143806E-1,-1.383455992E0
7.702315330E0,7.788525894E-3,-4.350884259E-1,-1.365130067E0
7.704421945E0,1.023198478E-2,-4.143190384E-1,-1.346804142E0
7.706528559E0,1.389717404E-2,-3.935496211E-1,-1.326034665E0
7.708635174E0,1.634063199E-2,-3.740019500E-1,-1.301600099E0
7.710741789E0,1.756236330E-2,-3.532325625E-1,-1.279608965E0
7.712848403E0,1.878409274E-2,-3.324631453E-1,-1.252730966E0
7.714955018E0,2.367101051E-2,-3.153589368E-1,-1.225852847E0
7.717061632E0,2.489273995E-2,-2.994764447E-1,-1.198974848E0
7.719168247E0,2.855792828E-2,-2.787070572E-1,-1.172096848E0
7.721274914E0,3.222311661E-2,-2.603811026E-1,-1.143997073E0
7.723381476E0,3.466657549E-2,-2.444986254E-1,-1.117118955E0
7.725488143E0,3.588830680E-2,-2.249509543E-1,-1.092684388E0
7.727594757E0,3.466657549E-2,-2.078467458E-1,-1.068249822E0
7.729701372E0,3.711003438E-2,-1.858556122E-1,-1.045036912E0
7.731807987E0,3.100138716E-2,-1.675296724E-1,-1.021824002E0
7.733914601E0,2.611446939E-2,-1.516471803E-1,-9.986112118E-1
7.736021216E0,2.244928107E-2,-1.320995092E-1,-9.790635109E-1
7.738127882E0,1.389717404E-2,-1.162170246E-1,-9.595158696E-1
7.740234445E0,7.788525894E-3,-1.039997265E-1,-9.387464523E-1
7.742341059E0,4.581485991E-4,-9.178243577E-2,-9.204205275E-1
7.744447674E0,-6.872228812E-3,-7.956513762E-2,-9.008728266E-1
7.746554289E0,-1.420260593E-2,-6.979130208E-2,-8.825469017E-1
7.748660955E0,-2.031125315E-2,-6.123919412E-2,-8.642209172E-1
7.750767570E0,-3.008509055E-2,-5.390881747E-2,-8.446732759E-1
7.752874184E0,-3.863719851E-2,-4.535670951E-2,-8.300125003E-1
7.754980799E0,-4.841103405E-2,-3.802633286E-2,-8.129082918E-1
7.757087414E0,-5.696314201E-2,-3.313941509E-2,-7.970257998E-1
7.759194028E0,-6.429351866E-2,-2.703076601E-2,-7.823650837E-1
7.761300643E0,-7.040216774E-2,-2.580903657E-2,-7.664825916E-1
7.763407257E0,-7.895427197E-2,-2.336557768E-2,-7.518218160E-1
7.765513924E0,-8.139773458E-2,-2.092211880E-2,-7.383828163E-1
7.767620539E0,-8.750637621E-2,-1.725693047E-2,-7.249437571E-1
7.769727153E0,-8.994983882E-2,-1.603520103E-2,-7.127264738E-1
7.771833768E0,-9.605848789E-2,-9.926552884E-3,-7.017309070E-1
7.773940382E0,-9.972367436E-2,-6.261364091E-3,-6.895136237E-1
7.776046945E0,-1.070540547E-1,-5.039634649E-3,-6.785180569E-1
7.778153612E0,-1.094975099E-1,-3.817904973E-3,-6.663007736E-1
7.780260226E0,-1.119409725E-1,-5.039634649E-3,-6.540834904E-1
7.782366841E0,-1.156061590E-1,-2.596175298E-3,-6.418661475E-1
7.784473455E0,-1.156061590E-1,-2.596175298E-3,-6.308705807E-1
7.786580070E0,-1.168278903E-1,-8.704823442E-3,-6.149880886E-1
7.788686684E0,-1.131627038E-1,-1.237001177E-2,-6.003273726E-1
7.790793351E0,-1.107192412E-1,-1.481347065E-2,-5.844448805E-1
7.792899914E0,-1.070540547E-1,-2.092211880E-2,-5.685623884E-1
7.795006528E0,-1.021671370E-1,-2.458730713E-2,-5.526798964E-1
7.797113143E0,-1.009454057E-1,-3.069595434E-2,-5.343539715E-1
7.799219809E0,-9.605848789E-2,-3.802633286E-2,-5.172497630E-1
7.801326424E0,-9.361502528E-2,-4.657844082E-2,-5.001455545E-1
7.803433039E0,-8.994983882E-2,-5.268708616E-2,-4.818195999E-1
7.805539653E0,-8.628465235E-2,-6.123919412E-2,-4.634936452E-1
7.807646268E0,-8.506292105E-2,-7.101303339E-2,-4.463894367E-1
7.809752882E0,-8.384118974E-2,-8.200860023E-2,-4.280634820E-1
7.811859497E0,-8.384118974E-2,-9.544762224E-2,-4.097375572E-1
7.813966112E0,-8.384118974E-2,-1.088866442E-1,-3.901898861E-1
7.816072726E0,-8.261945844E-2,-1.223256737E-1,-3.694204688E-1
7.818179393E0,-8.139773458E-2,-1.345429718E-1,-3.498727977E-1
7.820286007E0,-7.895427197E-2,-1.430950761E-1,-3.291034102E-1
7.822392622E0,-7.895427197E-2,-1.589775532E-1,-3.107774556E-1
7.824499237E0,-7.773254067E-2,-1.687513888E-1,-2.924515009E-1
7.826605851E0,-7.651081681E-2,-1.785252392E-1,-2.741255760E-1
7.828712466E0,-7.528908551E-2,-1.858556122E-1,-2.570213675E-1
7.830819080E0,-7.284562290E-2,-1.968511790E-1,-2.399171442E-1
7.832925695E0,-7.284562290E-2,-2.078467458E-1,-2.228129357E-1
7.835032309E0,-6.918043643E-2,-2.176205814E-1,-2.081521749E-1
7.837138924E0,-6.551524997E-2,-2.237292230E-1,-1.934914142E-1
7.839245539E0,-6.062832847E-2,-2.335030586E-1,-1.763872057E-1
7.841352205E0,-5.818486959E-2,-2.469420880E-1,-1.629481763E-1
7.843458820E0,-5.207622424E-2,-2.530507445E-1,-1.495091617E-1
7.845565434E0,-4.474584386E-2,-2.677114904E-1,-1.360701323E-1
7.847671997E0,-3.619373962E-2,-2.774853408E-1,-1.250745654E-1
7.849778664E0,-2.886336111E-2,-2.897026241E-1,-1.104138121E-1
7.851885278E0,-1.664606482E-2,-3.006981909E-1,-9.575305134E-2
7.853991841E0,-3.207040019E-3,-3.104720116E-1,-8.353576064E-2
7.856098507E0,7.788525894E-3,-3.202458620E-1,-6.765327603E-2
7.858205122E0,2.367101051E-2,-3.312414289E-1,-5.177079141E-2
7.860311737E0,3.833176568E-2,-3.397935331E-1,-3.711003438E-2
7.862418351E0,5.299251899E-2,-3.459021747E-1,-2.000582218E-2
7.864524966E0,7.376192510E-2,-3.459021747E-1,-4.123337101E-3
7.866631580E0,8.597921580E-2,-3.471239209E-1,1.298087649E-2
7.868738195E0,1.018617004E-1,-3.495673835E-1,2.764163166E-2
7.870844809E0,1.177441850E-1,-3.483456373E-1,4.352411628E-2
7.872951476E0,1.311832070E-1,-3.459021747E-1,6.062832847E-2
7.875058039E0,1.434005052E-1,-3.434587121E-1,7.773254067E-2
7.877164705E0,1.543960720E-1,-3.397935331E-1,9.728021920E-2
7.879271320E0,1.641699076E-1,-3.312414289E-1,1.168278903E-1
7.881377934E0,1.751654744E-1,-3.239110410E-1,1.351538301E-1
7.883484549E0,1.837175786E-1,-3.153589368E-1,1.559232324E-1
7.885591164E0,1.910479665E-1,-3.092502952E-1,1.766926348E-1
7.887697778E0,1.971566081E-1,-3.019199073E-1,1.974620372E-1
7.889804393E0,2.032652497E-1,-2.909243405E-1,2.145662606E-1
7.891911059E0,2.093739063E-1,-2.762635946E-1,2.341139317E-1
7.894017674E0,2.130390853E-1,-2.689332068E-1,2.512181401E-1
7.896124237E0,2.191477418E-1,-2.542724609E-1,2.683223486E-1
7.898230903E0,2.215912044E-1,-2.408334464E-1,2.854265571E-1
7.900337518E0,2.228129357E-1,-2.249509543E-1,3.000873327E-1
7.902444132E0,2.228129357E-1,-2.066250145E-1,3.135263622E-1
7.904550747E0,2.240346521E-1,-1.895207912E-1,3.269653618E-1
7.906657362E0,2.215912044E-1,-1.736383140E-1,3.379609287E-1
7.908763976E0,2.215912044E-1,-1.589775532E-1,3.465130329E-1
7.910870591E0,2.191477418E-1,-1.443168074E-1,3.550651670E-1
7.912977205E0,2.191477418E-1,-1.308777779E-1,3.623955250E-1
7.915083820E0,2.203694731E-1,-1.113301069E-1,3.672824502E-1
7.917190434E0,2.203694731E-1,-9.911280870E-2,3.721693754E-1
7.919297049E0,2.215912044E-1,-8.445205539E-2,3.746128380E-1
7.921403716E0,2.240346521E-1,-6.734783947E-2,3.770562708E-1
7.923510330E0,2.252563834E-1,-5.146535859E-2,3.770562708E-1
7.925616945E0,2.289215773E-1,-3.680460155E-2,3.794997334E-1
7.927723559E0,2.338084877E-1,-2.214384824E-2,3.782780170E-1
7.929830174E0,2.362519503E-1,-1.237001177E-2,3.758345544E-1
7.931936789E0,2.411388755E-1,2.290742937E-3,3.746128380E-1
7.934043403E0,2.448040545E-1,1.206457894E-2,3.746128380E-1
7.936150018E0,2.496909797E-1,2.428187430E-2,3.733910918E-1
7.938256684E0,2.557996213E-1,3.649916872E-2,3.721693754E-1
7.940363299E0,2.606865466E-1,4.749473557E-2,3.721693754E-1
7.942469914E0,2.643517256E-1,6.337722391E-2,3.733910918E-1
7.944576476E0,2.692386508E-1,7.559451461E-2,3.782780170E-1
7.946683143E0,2.729038298E-1,8.659008145E-2,3.807214797E-1
7.948789757E0,2.790125012E-1,9.514218569E-2,3.831649423E-1
7.950896372E0,2.802342176E-1,1.000291109E-1,3.892735839E-1
7.953002987E0,2.814559340E-1,1.061377525E-1,3.929387629E-1
7.955109601E0,2.826776803E-1,1.085812151E-1,3.990474045E-1
7.957216216E0,2.875646055E-1,1.098029464E-1,4.075995386E-1
7.959322830E0,2.900080681E-1,1.134681329E-1,4.137081802E-1
7.961429445E0,2.924515009E-1,1.146898642E-1,4.222602844E-1
7.963536059E0,2.936732471E-1,1.195767820E-1,4.332558513E-1
7.965642674E0,2.948949635E-1,1.256854236E-1,4.430296719E-1
7.967749341E0,2.961167097E-1,1.330158114E-1,4.552469850E-1
7.969855955E0,2.985601723E-1,1.415679157E-1,4.662425518E-1
7.971962570E0,2.973384261E-1,1.476765573E-1,4.796815813E-1
7.974069184E0,2.985601723E-1,1.598938555E-1,4.931205809E-1
7.976175799E0,2.973384261E-1,1.647807807E-1,5.090031028E-1
7.978282414E0,2.997818887E-1,1.721111536E-1,5.248855352E-1
7.980389028E0,3.046688139E-1,1.769980639E-1,5.432115197E-1
7.982495643E0,3.071122766E-1,1.818849891E-1,5.615374446E-1
7.984602257E0,3.071122766E-1,1.892153621E-1,5.798633695E-1
7.986708872E0,3.058905303E-1,1.965457499E-1,6.006327868E-1
7.988815487E0,3.058905303E-1,2.026543915E-1,6.165152788E-1
7.990922153E0,3.046688139E-1,2.063195854E-1,6.323977709E-1
7.993028768E0,3.058905303E-1,2.148716897E-1,6.482802629E-1
7.995135382E0,3.071122766E-1,2.222020626E-1,6.641627550E-1
7.997241997E0,3.071122766E-1,2.283107042E-1,6.776017547E-1
7.999348612E0,3.083339930E-1,2.319758981E-1,6.898190379E-1
8.001455226E0,3.058905303E-1,2.356410921E-1,7.032580972E-1
8.003561841E0,3.071122766E-1,2.368628234E-1,7.142536640E-1
8.005668455E0,3.083339930E-1,2.393062711E-1,7.228057384E-1
8.007775070E0,3.046688139E-1,2.356410921E-1,7.313578725E-1
8.009881684E0,3.022253513E-1,2.319758981E-1,7.374665141E-1
8.011988351E0,2.985601723E-1,2.319758981E-1,7.411317229E-1
